date,freight_usd_per_day,vessel_class,data_confidence
2019-01-06,11738.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-01-13,11768.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-01-20,10997.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-01-27,11322.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-02-03,11684.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-02-10,10357.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-02-17,9630.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-02-24,9698.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-03-03,9517.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-03-10,9485.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-03-17,9050.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-03-24,9463.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-03-31,9760.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-04-07,9652.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-04-14,10067.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-04-21,10082.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-04-28,9437.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-05-05,9477.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-05-12,8894.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-05-19,9233.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-05-26,9097.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-06-02,8921.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-06-09,8561.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-06-16,9094.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-06-23,8939.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-06-30,8695.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-07-07,8531.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-07-14,8779.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-07-21,8928.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-07-28,9085.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-08-04,9237.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-08-11,10213.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-08-18,9799.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-08-25,9418.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-09-01,8974.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-09-08,9255.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-09-15,9751.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-09-22,9581.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-09-29,9102.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-10-06,8718.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-10-13,9045.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-10-20,9369.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-10-27,9550.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-11-03,9128.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-11-10,9175.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-11-17,9149.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-11-24,9158.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-12-01,9452.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-12-08,9380.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-12-15,9513.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-12-22,9316.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2019-12-29,9230.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-01-05,9290.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-01-12,8393.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-01-19,8128.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-01-26,7828.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-02-02,7497.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-02-09,7339.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-02-16,7853.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-02-23,7372.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-03-01,7639.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-03-08,6879.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-03-15,6716.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-03-22,6731.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-03-29,6876.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-04-05,7032.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-04-12,7187.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-04-19,6904.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-04-26,6628.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-05-03,6910.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-05-10,6993.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-05-17,6729.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-05-24,6595.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-05-31,6592.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-06-07,7115.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-06-14,7504.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-06-21,8122.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-06-28,8267.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-07-05,8699.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-07-12,9360.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-07-19,9570.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-07-26,10201.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-08-02,10253.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-08-09,10523.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-08-16,10819.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-08-23,10707.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-08-30,11618.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-09-06,11949.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-09-13,12614.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-09-20,13604.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-09-27,14567.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-10-04,15699.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-10-11,16192.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-10-18,16443.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-10-25,17035.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-11-01,16278.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-11-08,15925.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-11-15,15799.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-11-22,16018.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-11-29,17449.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-12-06,17649.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-12-13,18365.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-12-20,20732.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2020-12-27,21230.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-01-03,22969.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-01-10,22654.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-01-17,23295.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-01-24,23054.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-01-31,23634.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-02-07,25685.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-02-14,24324.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-02-21,25959.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-02-28,27258.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-03-07,27349.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-03-14,26377.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-03-21,27699.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-03-28,28128.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-04-04,29726.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-04-11,30962.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-04-18,34844.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-04-25,35301.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-05-02,34491.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-05-09,36099.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-05-16,37802.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-05-23,41850.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-05-30,44705.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-06-06,46442.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-06-13,51012.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-06-20,48690.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-06-27,48412.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-07-04,47801.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-07-11,48895.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-07-18,47763.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-07-25,52124.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-08-01,54150.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-08-08,52903.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-08-15,53415.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-08-22,57936.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-08-29,64146.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-09-05,74594.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-09-12,89342.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-09-19,92478.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-09-26,89306.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-10-03,82357.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-10-10,87163.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-10-17,85686.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-10-24,82854.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-10-31,79431.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-11-07,78146.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-11-14,81519.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-11-21,80390.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-11-28,77838.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-12-05,72135.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-12-12,65165.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-12-19,63108.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2021-12-26,62422.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-01-02,67367.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-01-09,65871.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-01-16,67067.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-01-23,62884.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-01-30,57206.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-02-06,53069.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-02-13,50111.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-02-20,54743.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-02-27,50648.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-03-06,51238.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-03-13,47186.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-03-20,47978.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-03-27,47121.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-04-03,44953.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-04-10,43246.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-04-17,40407.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-04-24,40136.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-05-01,38003.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-05-08,34781.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-05-15,32063.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-05-22,32068.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-05-29,34306.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-06-05,33746.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-06-12,32730.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-06-19,32461.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-06-26,33841.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-07-03,33131.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-07-10,31462.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-07-17,32416.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-07-24,32076.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-07-31,33531.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-08-07,32477.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-08-14,29398.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-08-21,26762.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-08-28,28670.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-09-04,30440.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-09-11,29051.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-09-18,27567.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-09-25,28832.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-10-02,26266.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-10-09,24448.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-10-16,24758.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-10-23,23675.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-10-30,23153.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-11-06,22450.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-11-13,22330.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-11-20,23347.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-11-27,22599.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-12-04,22490.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-12-11,19479.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-12-18,18956.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2022-12-25,17707.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2023-01-01,16309.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2023-01-08,15817.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2023-01-15,15813.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2023-01-22,16805.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2023-01-29,15797.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2023-02-05,16016.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2023-02-12,15771.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2023-02-19,15666.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2023-02-26,16627.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2023-03-05,17068.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2023-03-12,18145.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2023-03-19,17723.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2023-03-26,16896.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2023-04-02,16601.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2023-04-09,16734.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2023-04-16,16789.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2023-04-23,15809.0,Capesize,synthetic_calibrated_to_public_rate_ranges
2023-04-30,15933.0,Capesize,synthetic_calibrated_to_public_rate_ranges
