date,freight_usd_per_day,vessel_class,data_confidence
2019-01-06,8331.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-01-13,8203.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-01-20,7823.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-01-27,7911.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-02-03,8122.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-02-10,7634.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-02-17,7389.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-02-24,7432.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-03-03,7408.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-03-10,7172.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-03-17,7043.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-03-24,7104.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-03-31,7040.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-04-07,6858.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-04-14,6915.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-04-21,6745.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-04-28,6351.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-05-05,6389.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-05-12,6334.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-05-19,6389.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-05-26,6440.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-06-02,6305.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-06-09,6047.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-06-16,6004.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-06-23,5882.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-06-30,6033.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-07-07,5954.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-07-14,5796.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-07-21,5869.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-07-28,5887.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-08-04,5893.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-08-11,6092.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-08-18,5912.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-08-25,5808.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-09-01,5510.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-09-08,5506.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-09-15,5658.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-09-22,5772.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-09-29,5740.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-10-06,5884.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-10-13,6107.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-10-20,5908.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-10-27,6013.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-11-03,6001.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-11-10,5998.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-11-17,5712.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-11-24,5660.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-12-01,5628.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-12-08,5656.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-12-15,5821.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-12-22,5812.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2019-12-29,5613.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2020-01-05,5694.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2020-01-12,5413.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2020-01-19,5410.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2020-01-26,5231.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2020-02-02,5107.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2020-02-09,5003.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2020-02-16,5072.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2020-02-23,5056.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2020-03-01,5160.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2020-03-08,4905.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2020-03-15,4639.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2020-03-22,4529.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2020-03-29,4537.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2020-04-05,4604.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2020-04-12,4437.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2020-04-19,4426.0,Handysize,synthetic_calibrated_to_public_rate_ranges
2020-04-26,4220.0,Handysize,synthetic_calibrated_to_public_rate_ranges
