date,freight_usd_per_day,vessel_class,data_confidence
2019-01-06,11024.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-01-13,11041.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-01-20,10750.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-01-27,10628.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-02-03,10456.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-02-10,9195.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-02-17,9111.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-02-24,9132.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-03-03,9063.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-03-10,8806.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-03-17,8869.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-03-24,9270.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-03-31,9290.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-04-07,8993.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-04-14,9048.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-04-21,8801.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-04-28,8468.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-05-05,8315.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-05-12,8155.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-05-19,8212.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-05-26,8042.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-06-02,8302.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-06-09,7881.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-06-16,7759.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-06-23,7784.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-06-30,7220.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-07-07,7257.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-07-14,7624.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-07-21,7710.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-07-28,7780.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-08-04,7395.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-08-11,8004.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-08-18,7934.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-08-25,7507.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-09-01,7754.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-09-08,7582.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-09-15,7446.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-09-22,7051.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-09-29,6947.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-10-06,6918.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-10-13,7199.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-10-20,7293.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-10-27,7224.0,Panamax,synthetic_calibrated_to_public_rate_ranges
2019-11-03,7253.0,Panamax,synthetic_calibrated_to_public_rate_ranges
