date,freight_usd_per_day,vessel_class,data_confidence
2019-01-06,10414.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-01-13,10728.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-01-20,10268.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-01-27,10366.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-02-03,10686.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-02-10,10109.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-02-17,9713.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-02-24,9470.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-03-03,8999.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-03-10,8968.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-03-17,8548.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-03-24,8834.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-03-31,8905.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-04-07,8585.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-04-14,8745.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-04-21,8822.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-04-28,8476.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-05-05,8232.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-05-12,7967.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-05-19,8116.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-05-26,8144.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-06-02,8114.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-06-09,7664.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-06-16,7724.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-06-23,7722.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-06-30,7236.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-07-07,7294.0,Supramax,synthetic_calibrated_to_public_rate_ranges
2019-07-14,7204.0,Supramax,synthetic_calibrated_to_public_rate_ranges
