date,portcalls_dry_bulk,import_dry_bulk,export_dry_bulk,month
2019-01-01,0,0,0,1
2019-01-02,0,0,0,1
2019-01-03,1,41472,19147,1
2019-01-04,0,0,0,1
2019-01-05,1,41472,19147,1
2019-01-06,0,0,0,1
2019-01-07,3,41472,84444,1
2019-01-08,1,41472,19147,1
2019-01-09,1,9583,0,1
2019-01-10,1,73173,0,1
2019-01-11,1,41472,19147,1
2019-01-12,2,73304,19147,1
2019-01-13,0,0,0,1
2019-01-14,1,41472,19147,1
2019-01-15,1,41472,19147,1
2019-01-16,0,0,0,1
2019-01-17,0,0,0,1
2019-01-18,1,0,0,1
2019-01-19,2,41472,48011,1
2019-01-20,0,0,0,1
2019-01-21,1,0,18704,1
2019-01-22,0,0,0,1
2019-01-23,1,41472,19147,1
2019-01-24,0,0,0,1
2019-01-25,0,0,0,1
2019-01-26,1,28628,0,1
2019-01-27,1,41472,19147,1
2019-01-28,0,0,0,1
2019-01-29,1,25321,0,1
2019-01-30,3,119835,72514,1
2019-01-31,1,0,53490,1
2019-02-01,1,138,0,2
2019-02-02,1,35789,0,2
2019-02-03,1,0,27918,2
2019-02-04,2,250995,0,2
2019-02-05,1,2405,0,2
2019-02-06,0,0,0,2
2019-02-07,0,0,0,2
2019-02-08,2,46288,55300,2
2019-02-09,1,77798,0,2
2019-02-10,2,54938,54475,2
2019-02-11,1,0,0,2
2019-02-12,1,0,49856,2
2019-02-13,2,41472,58138,2
2019-02-14,0,0,0,2
2019-02-15,0,0,0,2
2019-02-16,0,0,0,2
2019-02-17,2,80781,0,2
2019-02-18,0,0,0,2
2019-02-19,0,0,0,2
2019-02-20,1,0,13438,2
2019-02-21,0,0,0,2
2019-02-22,1,79451,0,2
2019-02-23,1,41472,19147,2
2019-02-24,2,52349,0,2
2019-02-25,0,0,0,2
2019-02-26,1,41472,19147,2
2019-02-27,1,28199,0,2
2019-02-28,0,0,0,2
2019-03-01,1,0,4756,3
2019-03-02,0,0,0,3
2019-03-03,0,0,0,3
2019-03-04,0,0,0,3
2019-03-05,2,82944,38295,3
2019-03-06,0,0,0,3
2019-03-07,1,0,54564,3
2019-03-08,3,255590,38295,3
2019-03-09,1,41472,19147,3
2019-03-10,1,41472,19147,3
2019-03-11,0,0,0,3
2019-03-12,0,0,0,3
2019-03-13,2,128778,0,3
2019-03-14,1,41472,19147,3
2019-03-15,0,0,0,3
2019-03-16,1,0,40666,3
2019-03-17,0,0,0,3
2019-03-18,1,41472,19147,3
2019-03-19,3,116502,0,3
2019-03-20,0,0,0,3
2019-03-21,0,0,0,3
2019-03-22,0,0,0,3
2019-03-23,0,0,0,3
2019-03-24,1,21432,0,3
2019-03-25,0,0,0,3
2019-03-26,1,411,0,3
2019-03-27,1,0,1659,3
2019-03-28,0,0,0,3
2019-03-29,1,26712,0,3
2019-03-30,0,0,0,3
2019-03-31,2,0,51823,3
2019-04-01,0,0,0,4
2019-04-02,1,0,51116,4
2019-04-03,0,0,0,4
2019-04-04,1,80255,0,4
2019-04-05,2,41472,92319,4
2019-04-06,1,41472,19147,4
2019-04-07,0,0,0,4
2019-04-08,1,41472,19147,4
2019-04-09,0,0,0,4
2019-04-10,0,0,0,4
2019-04-11,1,78117,0,4
2019-04-12,1,41472,19147,4
2019-04-13,1,41472,19147,4
2019-04-14,0,0,0,4
2019-04-15,0,0,0,4
2019-04-16,1,50695,0,4
2019-04-17,1,0,45962,4
2019-04-18,0,0,0,4
2019-04-19,2,41472,90225,4
2019-04-20,1,53390,0,4
2019-04-21,0,0,0,4
2019-04-22,3,106254,52108,4
2019-04-23,0,0,0,4
2019-04-24,0,0,0,4
2019-04-25,3,142033,19147,4
2019-04-26,1,9933,0,4
2019-04-27,1,0,73191,4
2019-04-28,1,79447,0,4
2019-04-29,1,0,25831,4
2019-04-30,0,0,0,4
2019-05-01,0,0,0,5
2019-05-02,0,0,0,5
2019-05-03,0,0,0,5
2019-05-04,0,0,0,5
2019-05-05,1,78678,0,5
2019-05-06,2,41472,38931,5
