date,portcalls_dry_bulk,import_dry_bulk,export_dry_bulk,month
2019-01-01,3,60130,3037,1
2019-01-02,2,6743,0,1
2019-01-03,3,23254,99589,1
2019-01-04,3,76776,6075,1
2019-01-05,3,0,26532,1
2019-01-06,1,23254,3037,1
2019-01-07,5,76325,6075,1
2019-01-08,1,0,50135,1
2019-01-09,1,0,0,1
2019-01-10,1,0,0,1
2019-01-11,4,101383,3037,1
2019-01-12,1,20876,0,1
2019-01-13,2,45023,3037,1
2019-01-14,4,69514,3037,1
2019-01-15,2,0,81598,1
2019-01-16,3,23254,103157,1
2019-01-17,2,117328,0,1
2019-01-18,2,99830,3037,1
2019-01-19,2,46508,6075,1
2019-01-20,1,23254,3037,1
2019-01-21,2,0,0,1
2019-01-22,2,23254,3037,1
2019-01-23,1,0,54494,1
2019-01-24,0,0,0,1
2019-01-25,3,0,3283,1
2019-01-26,4,93017,12151,1
2019-01-27,1,23254,3037,1
2019-01-28,2,23254,3037,1
2019-01-29,2,98309,3037,1
2019-01-30,5,223741,0,1
2019-01-31,2,0,0,1
2019-02-01,1,74539,0,2
2019-02-02,5,130859,0,2
2019-02-03,1,23254,3037,2
2019-02-04,2,23254,44524,2
2019-02-05,2,46508,6075,2
2019-02-06,5,50403,3037,2
2019-02-07,2,102018,3037,2
2019-02-08,4,28248,14660,2
2019-02-09,3,96722,3037,2
2019-02-10,1,23254,3037,2
2019-02-11,5,103804,9113,2
2019-02-12,1,32599,0,2
2019-02-13,2,30745,0,2
2019-02-14,3,23254,8870,2
2019-02-15,4,69763,9657,2
2019-02-16,1,37362,0,2
2019-02-17,1,0,0,2
2019-02-18,6,104693,76303,2
2019-02-19,1,78816,0,2
2019-02-20,3,46508,6075,2
2019-02-21,4,75991,0,2
2019-02-22,5,125166,6075,2
2019-02-23,2,0,53106,2
2019-02-24,4,69763,9113,2
2019-02-25,4,72175,70232,2
2019-02-26,0,0,0,2
2019-02-27,3,23254,3037,2
2019-02-28,1,0,0,2
2019-03-01,0,0,0,3
2019-03-02,3,107680,6075,3
2019-03-03,1,23254,3037,3
2019-03-04,1,23254,3037,3
2019-03-05,2,64138,0,3
2019-03-06,3,23254,3037,3
2019-03-07,3,0,3449,3
2019-03-08,2,23254,3037,3
2019-03-09,1,43859,0,3
2019-03-10,1,0,0,3
2019-03-11,1,23254,3037,3
2019-03-12,4,128082,3037,3
2019-03-13,3,111941,26532,3
2019-03-14,1,0,0,3
2019-03-15,2,18202,406,3
2019-03-16,3,69763,9113,3
2019-03-17,2,46508,6075,3
2019-03-18,5,39844,3037,3
2019-03-19,3,73875,0,3
2019-03-20,3,94311,0,3
2019-03-21,2,0,49520,3
2019-03-22,2,50566,0,3
2019-03-23,4,73865,0,3
2019-03-24,0,0,0,3
2019-03-25,2,102009,3037,3
2019-03-26,1,23254,3037,3
2019-03-27,0,0,0,3
2019-03-28,2,16827,0,3
2019-03-29,5,133390,3037,3
2019-03-30,3,46508,6075,3
2019-03-31,2,23254,3037,3
2019-04-01,3,102118,3037,4
2019-04-02,1,78640,0,4
2019-04-03,3,57872,3037,4
2019-04-04,1,0,0,4
2019-04-05,2,46508,6075,4
2019-04-06,1,24804,0,4
2019-04-07,1,23254,3037,4
2019-04-08,2,103705,3037,4
2019-04-09,3,81979,0,4
2019-04-10,2,23254,3037,4
2019-04-11,5,137762,6075,4
2019-04-12,1,23254,3037,4
2019-04-13,0,0,0,4
2019-04-14,1,23254,3037,4
2019-04-15,3,46508,6075,4
2019-04-16,0,0,0,4
2019-04-17,3,69763,9113,4
2019-04-18,2,5415,0,4
2019-04-19,1,0,0,4
2019-04-20,2,0,5415,4
2019-04-21,3,23940,3037,4
2019-04-22,6,69763,9113,4
2019-04-23,3,84491,3037,4
2019-04-24,1,78533,0,4
2019-04-25,4,106851,0,4
2019-04-26,3,2051,0,4
2019-04-27,1,23254,3037,4
2019-04-28,1,23254,3037,4
2019-04-29,6,148865,66704,4
2019-04-30,4,23254,3037,4
2019-05-01,2,27472,0,5
2019-05-02,2,46508,6075,5
2019-05-03,3,66783,6075,5
2019-05-04,0,0,0,5
2019-05-05,2,0,0,5
2019-05-06,1,25151,0,5
2019-05-07,4,0,63830,5
2019-05-08,0,0,0,5
2019-05-09,1,4793,0,5
2019-05-10,3,46508,6075,5
2019-05-11,1,0,29595,5
2019-05-12,1,23254,3037,5
2019-05-13,2,25497,0,5
2019-05-14,2,36910,0,5
2019-05-15,2,48595,3037,5
2019-05-16,2,0,0,5
2019-05-17,3,132314,3037,5
2019-05-18,2,62014,3037,5
