date,portcalls_dry_bulk,export_dry_bulk,month
2019-01-01,3,191326,1
2019-01-02,3,199777,1
2019-01-03,5,454322,1
2019-01-04,4,440380,1
2019-01-05,4,328432,1
2019-01-06,3,430126,1
2019-01-07,3,319197,1
2019-01-08,2,142999,1
2019-01-09,2,258838,1
2019-01-10,4,288670,1
2019-01-11,5,311062,1
2019-01-12,3,208775,1
2019-01-13,4,350904,1
2019-01-14,3,283894,1
2019-01-15,3,286544,1
2019-01-16,4,346068,1
2019-01-17,2,153494,1
2019-01-18,2,238837,1
2019-01-19,3,162690,1
2019-01-20,3,246731,1
2019-01-21,4,341320,1
2019-01-22,4,195999,1
2019-01-23,3,257533,1
2019-01-24,3,235864,1
2019-01-25,6,505925,1
2019-01-26,4,250644,1
2019-01-27,6,573881,1
2019-01-28,3,197731,1
2019-01-29,3,345672,1
2019-01-30,3,215119,1
2019-01-31,2,264083,1
2019-02-01,0,0,2
2019-02-02,2,39805,2
2019-02-03,2,121916,2
2019-02-04,2,121227,2
2019-02-05,2,152500,2
2019-02-06,0,0,2
2019-02-07,1,101175,2
2019-02-08,7,711856,2
2019-02-09,3,239863,2
2019-02-10,2,57454,2
2019-02-11,6,576512,2
2019-02-12,1,48321,2
2019-02-13,5,492534,2
2019-02-14,2,85248,2
2019-02-15,3,106513,2
2019-02-16,3,299571,2
2019-02-17,4,338008,2
2019-02-18,6,436978,2
2019-02-19,2,131782,2
2019-02-20,5,243357,2
2019-02-21,2,315212,2
2019-02-22,1,196182,2
2019-02-23,0,0,2
2019-02-24,2,122443,2
2019-02-25,2,244136,2
2019-02-26,3,176465,2
2019-02-27,2,240020,2
2019-02-28,3,242111,2
2019-03-01,5,182325,3
2019-03-02,3,315995,3
2019-03-03,4,337246,3
2019-03-04,4,339335,3
2019-03-05,2,218970,3
2019-03-06,6,323761,3
2019-03-07,2,243006,3
2019-03-08,4,325303,3
2019-03-09,2,81206,3
2019-03-10,5,319165,3
2019-03-11,4,355863,3
2019-03-12,2,168708,3
2019-03-13,2,248742,3
2019-03-14,1,91248,3
2019-03-15,3,279523,3
2019-03-16,3,207312,3
2019-03-17,2,151652,3
2019-03-18,1,91282,3
2019-03-19,4,328529,3
2019-03-20,1,142899,3
2019-03-21,3,241150,3
2019-03-22,5,497728,3
2019-03-23,4,443075,3
2019-03-24,3,297949,3
2019-03-25,2,256704,3
2019-03-26,3,149513,3
2019-03-27,5,336004,3
2019-03-28,4,332101,3
2019-03-29,5,468166,3
2019-03-30,2,78409,3
2019-03-31,3,172024,3
2019-04-01,3,289444,4
2019-04-02,2,139747,4
2019-04-03,4,391061,4
2019-04-04,2,161751,4
2019-04-05,4,314411,4
2019-04-06,3,257075,4
2019-04-07,3,358591,4
2019-04-08,2,116103,4
2019-04-09,2,247595,4
2019-04-10,4,514768,4
2019-04-11,3,148770,4
2019-04-12,2,165603,4
2019-04-13,2,155608,4
2019-04-14,3,229734,4
2019-04-15,5,634010,4
2019-04-16,2,250436,4
2019-04-17,1,78703,4
2019-04-18,4,291039,4
2019-04-19,4,407996,4
2019-04-20,4,347624,4
2019-04-21,2,159670,4
2019-04-22,5,530478,4
2019-04-23,2,156978,4
2019-04-24,4,10885,4
2019-04-25,1,80323,4
2019-04-26,5,657548,4
2019-04-27,3,160653,4
2019-04-28,3,262292,4
2019-04-29,3,439126,4
2019-04-30,1,59922,4
2019-05-01,5,474095,5
2019-05-02,2,224650,5
2019-05-03,4,488974,5
2019-05-04,4,420937,5
2019-05-05,4,233872,5
2019-05-06,2,119230,5
2019-05-07,5,436332,5
2019-05-08,2,112485,5
2019-05-09,4,317944,5
2019-05-10,4,463417,5
2019-05-11,3,341714,5
2019-05-12,4,280714,5
2019-05-13,2,97090,5
2019-05-14,3,257688,5
2019-05-15,2,169550,5
2019-05-16,2,238332,5
2019-05-17,4,372263,5
2019-05-18,4,200968,5
2019-05-19,4,159272,5
2019-05-20,5,334064,5
2019-05-21,3,268308,5
2019-05-22,3,342579,5
2019-05-23,5,268111,5
2019-05-24,3,261396,5
2019-05-25,3,113862,5
2019-05-26,5,356044,5
2019-05-27,2,0,5
2019-05-28,4,394780,5
2019-05-29,4,365547,5
2019-05-30,3,275838,5
2019-05-31,1,86364,5
2019-06-01,5,507807,6
2019-06-02,3,305458,6
2019-06-03,2,200890,6
2019-06-04,4,200361,6
2019-06-05,3,286978,6
2019-06-06,5,576555,6
2019-06-07,3,259952,6
2019-06-08,5,476853,6
2019-06-09,1,78050,6
2019-06-10,6,724982,6
2019-06-11,3,349782,6
2019-06-12,3,376627,6
2019-06-13,3,408455,6
2019-06-14,3,274430,6
2019-06-15,2,171259,6
2019-06-16,4,389389,6
2019-06-17,3,251414,6
2019-06-18,2,188094,6
2019-06-19,6,469453,6
2019-06-20,4,371387,6
2019-06-21,3,347798,6
2019-06-22,4,451922,6
2019-06-23,4,498932,6
2019-06-24,4,423767,6
2019-06-25,5,415061,6
2019-06-26,4,117879,6
2019-06-27,5,427472,6
2019-06-28,4,437930,6
2019-06-29,3,193108,6
2019-06-30,2,247355,6
2019-07-01,4,335682,7
2019-07-02,2,196265,7
2019-07-03,3,149269,7
2019-07-04,1,67986,7
2019-07-05,0,0,7
2019-07-06,4,378894,7
2019-07-07,3,234992,7
2019-07-08,1,70709,7
2019-07-09,4,318412,7
2019-07-10,2,341549,7
2019-07-11,2,112008,7
2019-07-12,5,461338,7
2019-07-13,3,387255,7
2019-07-14,3,346480,7
2019-07-15,3,322159,7
2019-07-16,5,261706,7
2019-07-17,4,377606,7
2019-07-18,3,212435,7
2019-07-19,3,254274,7
2019-07-20,4,480533,7
2019-07-21,4,274568,7
2019-07-22,2,162529,7
2019-07-23,4,346506,7
2019-07-24,5,539275,7
2019-07-25,2,109694,7
2019-07-26,4,553409,7
2019-07-27,1,85172,7
2019-07-28,4,297664,7
2019-07-29,4,371223,7
2019-07-30,4,353210,7
2019-07-31,2,128114,7
2019-08-01,2,79283,8
2019-08-02,3,340350,8
2019-08-03,3,220693,8
2019-08-04,4,460972,8
2019-08-05,2,254157,8
2019-08-06,3,291774,8
2019-08-07,3,259962,8
2019-08-08,4,242954,8
2019-08-09,4,201385,8
2019-08-10,4,186787,8
2019-08-11,4,390571,8
2019-08-12,1,89494,8
2019-08-13,2,137842,8
2019-08-14,1,164200,8
2019-08-15,1,154877,8
2019-08-16,2,153670,8
2019-08-17,4,513935,8
2019-08-18,2,101175,8
2019-08-19,3,335876,8
2019-08-20,4,305068,8
2019-08-21,2,211828,8
2019-08-22,4,323255,8
2019-08-23,5,439894,8
2019-08-24,4,389320,8
2019-08-25,3,237182,8
2019-08-26,4,412443,8
2019-08-27,3,312710,8
2019-08-28,6,485789,8
2019-08-29,3,317676,8
2019-08-30,2,157246,8
2019-08-31,4,320443,8
2019-09-01,1,160603,9
2019-09-02,3,239241,9
2019-09-03,3,243652,9
2019-09-04,3,189877,9
2019-09-05,5,321343,9
2019-09-06,4,359947,9
2019-09-07,4,460572,9
2019-09-08,3,165771,9
2019-09-09,2,174702,9
2019-09-10,4,200461,9
2019-09-11,5,466232,9
2019-09-12,6,522040,9
2019-09-13,3,199359,9
2019-09-14,5,238331,9
2019-09-15,4,264322,9
2019-09-16,5,395268,9
2019-09-17,3,181117,9
2019-09-18,4,348107,9
2019-09-19,4,326715,9
2019-09-20,3,413793,9
2019-09-21,2,209367,9
2019-09-22,2,177882,9
2019-09-23,4,410280,9
2019-09-24,2,123683,9
2019-09-25,1,78945,9
2019-09-26,3,330478,9
2019-09-27,3,342491,9
2019-09-28,1,198424,9
2019-09-29,4,244892,9
2019-09-30,3,199663,9
2019-10-01,2,262568,10
2019-10-02,4,423507,10
2019-10-03,5,397647,10
2019-10-04,3,332457,10
2019-10-05,3,253079,10
2019-10-06,4,259080,10
2019-10-07,4,378892,10
2019-10-08,4,400836,10
2019-10-09,2,169958,10
2019-10-10,5,427524,10
2019-10-11,1,79461,10
2019-10-12,2,187441,10
2019-10-13,3,137536,10
2019-10-14,1,94508,10
2019-10-15,3,428988,10
2019-10-16,2,31867,10
2019-10-17,3,359138,10
2019-10-18,4,436733,10
2019-10-19,4,408166,10
2019-10-20,4,366847,10
2019-10-21,3,159607,10
2019-10-22,4,408541,10
2019-10-23,1,79512,10
2019-10-24,3,241843,10
2019-10-25,4,547289,10
2019-10-26,1,77627,10
2019-10-27,4,487753,10
2019-10-28,2,258734,10
2019-10-29,4,383177,10
2019-10-30,2,109606,10
2019-10-31,3,214902,10
2019-11-01,4,425849,11
2019-11-02,2,129643,11
2019-11-03,2,89369,11
2019-11-04,3,344817,11
2019-11-05,1,109249,11
2019-11-06,3,346858,11
2019-11-07,3,338534,11
2019-11-08,5,316569,11
2019-11-09,5,486123,11
2019-11-10,3,204190,11
2019-11-11,3,426769,11
2019-11-12,1,86136,11
2019-11-13,3,233502,11
2019-11-14,4,244008,11
2019-11-15,3,276199,11
2019-11-16,2,155237,11
2019-11-17,2,232200,11
2019-11-18,3,320567,11
2019-11-19,4,148665,11
2019-11-20,3,286764,11
2019-11-21,3,258731,11
2019-11-22,3,355937,11
2019-11-23,1,75762,11
2019-11-24,5,454680,11
2019-11-25,3,167655,11
2019-11-26,4,343604,11
2019-11-27,2,77246,11
2019-11-28,5,453957,11
2019-11-29,4,346493,11
2019-11-30,2,240724,11
2019-12-01,4,304652,12
2019-12-02,3,321987,12
2019-12-03,1,76002,12
2019-12-04,4,439104,12
2019-12-05,3,202156,12
2019-12-06,6,379344,12
2019-12-07,6,354246,12
2019-12-08,5,325810,12
2019-12-09,5,506310,12
2019-12-10,0,0,12
2019-12-11,3,249502,12
2019-12-12,4,358004,12
2019-12-13,3,249618,12
2019-12-14,4,196995,12
2019-12-15,5,412352,12
2019-12-16,4,338815,12
2019-12-17,3,245293,12
2019-12-18,4,335919,12
2019-12-19,4,329598,12
2019-12-20,3,419773,12
2019-12-21,5,516704,12
2019-12-22,1,88853,12
2019-12-23,6,423238,12
2019-12-24,4,245172,12
2019-12-25,3,321665,12
2019-12-26,6,390616,12
2019-12-27,2,257425,12
2019-12-28,4,281144,12
2019-12-29,4,289834,12
2019-12-30,5,263246,12
2019-12-31,3,162576,12
2020-01-01,3,165072,1
2020-01-02,6,541337,1
2020-01-03,3,314750,1
2020-01-04,3,298144,1
2020-01-05,3,296372,1
2020-01-06,2,125965,1
2020-01-07,3,251665,1
2020-01-08,3,192029,1
2020-01-09,4,320150,1
2020-01-10,3,208974,1
2020-01-11,5,373715,1
2020-01-12,3,231201,1
2020-01-13,3,292903,1
2020-01-14,4,306272,1
2020-01-15,4,390212,1
2020-01-16,3,336949,1
2020-01-17,2,182926,1
2020-01-18,2,258021,1
2020-01-19,3,255242,1
2020-01-20,5,388755,1
2020-01-21,2,150265,1
2020-01-22,3,345873,1
2020-01-23,4,382208,1
2020-01-24,2,164461,1
2020-01-25,4,416999,1
2020-01-26,1,85373,1
2020-01-27,2,167295,1
2020-01-28,4,344335,1
2020-01-29,1,85373,1
2020-01-30,2,251466,1
2020-01-31,5,476396,1
2020-02-01,3,239546,2
2020-02-02,3,169642,2
2020-02-03,1,40005,2
2020-02-04,2,159684,2
2020-02-05,4,519813,2
2020-02-06,1,173963,2
2020-02-07,5,526993,2
2020-02-08,1,34618,2
2020-02-09,4,219124,2
2020-02-10,4,280466,2
2020-02-11,4,369941,2
2020-02-12,4,318120,2
2020-02-13,2,164212,2
2020-02-14,1,79359,2
2020-02-15,2,170016,2
2020-02-16,3,181990,2
2020-02-17,5,375725,2
2020-02-18,3,317810,2
2020-02-19,4,247636,2
2020-02-20,2,174583,2
2020-02-21,4,508484,2
2020-02-22,1,170924,2
2020-02-23,4,280060,2
2020-02-24,2,165869,2
2020-02-25,0,0,2
2020-02-26,3,235140,2
2020-02-27,5,415335,2
2020-02-28,3,339491,2
2020-02-29,3,400001,2
2020-03-01,2,80433,3
2020-03-02,2,157849,3
2020-03-03,3,232919,3
2020-03-04,4,438648,3
2020-03-05,1,85373,3
2020-03-06,3,264589,3
2020-03-07,3,205501,3
2020-03-08,2,106189,3
2020-03-09,1,79576,3
2020-03-10,1,87283,3
2020-03-11,0,0,3
2020-03-12,0,0,3
2020-03-13,0,0,3
2020-03-14,3,316602,3
2020-03-15,4,411526,3
2020-03-16,3,358930,3
2020-03-17,4,528035,3
2020-03-18,3,326176,3
2020-03-19,4,429041,3
2020-03-20,4,275962,3
2020-03-21,4,313791,3
2020-03-22,4,263129,3
2020-03-23,6,370161,3
2020-03-24,2,219596,3
2020-03-25,2,166558,3
2020-03-26,4,249764,3
2020-03-27,2,157669,3
2020-03-28,5,363531,3
2020-03-29,3,166254,3
2020-03-30,3,181120,3
2020-03-31,3,247716,3
2020-04-01,1,76935,4
2020-04-02,3,330134,4
