date,portcalls_dry_bulk,export_dry_bulk,month
2019-01-01,0,0,1
2019-01-02,0,0,1
2019-01-03,2,49953,1
2019-01-04,1,0,1
2019-01-05,0,0,1
2019-01-06,0,0,1
2019-01-07,0,0,1
2019-01-08,0,0,1
2019-01-09,1,0,1
2019-01-10,0,0,1
2019-01-11,0,0,1
2019-01-12,0,0,1
2019-01-13,0,0,1
2019-01-14,0,0,1
2019-01-15,1,163983,1
2019-01-16,0,0,1
2019-01-17,0,0,1
2019-01-18,1,78809,1
2019-01-19,0,0,1
2019-01-20,0,0,1
2019-01-21,0,0,1
2019-01-22,0,0,1
2019-01-23,0,0,1
2019-01-24,0,0,1
2019-01-25,1,32324,1
2019-01-26,0,0,1
2019-01-27,0,0,1
2019-01-28,1,40989,1
2019-01-29,0,0,1
2019-01-30,0,0,1
2019-01-31,0,0,1
2019-02-01,0,0,2
2019-02-02,1,0,2
2019-02-03,0,0,2
2019-02-04,1,168658,2
2019-02-05,0,0,2
2019-02-06,0,0,2
2019-02-07,0,0,2
2019-02-08,1,75664,2
2019-02-09,1,173309,2
2019-02-10,0,0,2
2019-02-11,0,0,2
2019-02-12,0,0,2
2019-02-13,0,0,2
2019-02-14,0,0,2
2019-02-15,1,37815,2
2019-02-16,0,0,2
2019-02-17,0,0,2
2019-02-18,0,0,2
2019-02-19,2,65762,2
2019-02-20,0,0,2
2019-02-21,1,110367,2
2019-02-22,0,0,2
2019-02-23,0,0,2
2019-02-24,0,0,2
2019-02-25,1,167593,2
2019-02-26,0,0,2
2019-02-27,0,0,2
2019-02-28,1,0,2
2019-03-01,1,49953,3
2019-03-02,0,0,3
2019-03-03,2,69715,3
2019-03-04,0,0,3
2019-03-05,0,0,3
2019-03-06,1,57983,3
2019-03-07,0,0,3
2019-03-08,2,79249,3
2019-03-09,0,0,3
2019-03-10,0,0,3
2019-03-11,1,0,3
2019-03-12,0,0,3
2019-03-13,0,0,3
2019-03-14,0,0,3
2019-03-15,1,0,3
2019-03-16,0,0,3
2019-03-17,1,54817,3
2019-03-18,1,49953,3
2019-03-19,1,54472,3
2019-03-20,0,0,3
2019-03-21,1,78557,3
2019-03-22,0,0,3
2019-03-23,1,0,3
2019-03-24,0,0,3
2019-03-25,2,72629,3
2019-03-26,0,0,3
2019-03-27,3,224789,3
2019-03-28,0,0,3
2019-03-29,0,0,3
2019-03-30,1,0,3
2019-03-31,0,0,3
2019-04-01,0,0,4
2019-04-02,0,0,4
2019-04-03,0,0,4
2019-04-04,0,0,4
2019-04-05,1,53306,4
2019-04-06,1,76212,4
2019-04-07,0,0,4
2019-04-08,0,0,4
2019-04-09,0,0,4
2019-04-10,0,0,4
2019-04-11,0,0,4
2019-04-12,1,82340,4
2019-04-13,0,0,4
2019-04-14,0,0,4
2019-04-15,1,78698,4
2019-04-16,0,0,4
2019-04-17,1,0,4
2019-04-18,0,0,4
2019-04-19,0,0,4
2019-04-20,0,0,4
2019-04-21,0,0,4
2019-04-22,1,167051,4
2019-04-23,0,0,4
2019-04-24,1,66014,4
2019-04-25,0,0,4
2019-04-26,0,0,4
2019-04-27,0,0,4
2019-04-28,1,0,4
2019-04-29,0,0,4
2019-04-30,1,0,4
2019-05-01,1,0,5
2019-05-02,0,0,5
2019-05-03,0,0,5
2019-05-04,0,0,5
2019-05-05,0,0,5
2019-05-06,0,0,5
2019-05-07,0,0,5
2019-05-08,0,0,5
2019-05-09,1,102467,5
2019-05-10,0,0,5
2019-05-11,0,0,5
2019-05-12,1,50138,5
2019-05-13,0,0,5
2019-05-14,1,0,5
2019-05-15,1,98365,5
2019-05-16,0,0,5
2019-05-17,0,0,5
2019-05-18,0,0,5
2019-05-19,0,0,5
2019-05-20,1,0,5
2019-05-21,0,0,5
2019-05-22,1,75948,5
2019-05-23,1,82466,5
2019-05-24,2,0,5
2019-05-25,1,163631,5
2019-05-26,0,0,5
2019-05-27,1,28085,5
2019-05-28,1,74839,5
2019-05-29,0,0,5
2019-05-30,1,53418,5
2019-05-31,0,0,5
2019-06-01,1,0,6
2019-06-02,0,0,6
2019-06-03,0,0,6
2019-06-04,1,55854,6
2019-06-05,0,0,6
2019-06-06,0,0,6
2019-06-07,0,0,6
2019-06-08,0,0,6
2019-06-09,0,0,6
2019-06-10,1,75670,6
2019-06-11,0,0,6
2019-06-12,0,0,6
2019-06-13,1,76450,6
2019-06-14,0,0,6
2019-06-15,0,0,6
2019-06-16,1,3794,6
2019-06-17,0,0,6
2019-06-18,1,168461,6
2019-06-19,1,0,6
2019-06-20,0,0,6
2019-06-21,0,0,6
2019-06-22,1,0,6
2019-06-23,0,0,6
2019-06-24,1,0,6
2019-06-25,0,0,6
2019-06-26,1,60588,6
2019-06-27,0,0,6
2019-06-28,1,54988,6
2019-06-29,1,56038,6
2019-06-30,0,0,6
2019-07-01,2,0,7
2019-07-02,0,0,7
2019-07-03,0,0,7
2019-07-04,0,0,7
2019-07-05,0,0,7
2019-07-06,0,0,7
2019-07-07,0,0,7
2019-07-08,1,161961,7
2019-07-09,0,0,7
2019-07-10,1,73852,7
2019-07-11,0,0,7
2019-07-12,0,0,7
2019-07-13,0,0,7
2019-07-14,0,0,7
2019-07-15,0,0,7
2019-07-16,1,0,7
2019-07-17,0,0,7
2019-07-18,1,0,7
2019-07-19,0,0,7
2019-07-20,0,0,7
2019-07-21,0,0,7
2019-07-22,0,0,7
2019-07-23,1,0,7
2019-07-24,0,0,7
2019-07-25,0,0,7
2019-07-26,1,108298,7
2019-07-27,1,0,7
2019-07-28,0,0,7
2019-07-29,1,161672,7
2019-07-30,0,0,7
2019-07-31,0,0,7
2019-08-01,0,0,8
2019-08-02,0,0,8
2019-08-03,1,0,8
2019-08-04,1,56194,8
2019-08-05,2,49953,8
2019-08-06,0,0,8
2019-08-07,0,0,8
2019-08-08,1,0,8
2019-08-09,0,0,8
2019-08-10,0,0,8
2019-08-11,0,0,8
2019-08-12,0,0,8
2019-08-13,1,49953,8
2019-08-14,0,0,8
2019-08-15,0,0,8
2019-08-16,0,0,8
2019-08-17,2,77820,8
2019-08-18,0,0,8
2019-08-19,0,0,8
2019-08-20,0,0,8
2019-08-21,0,0,8
2019-08-22,1,161961,8
2019-08-23,1,0,8
2019-08-24,0,0,8
2019-08-25,0,0,8
2019-08-26,0,0,8
2019-08-27,1,57914,8
2019-08-28,0,0,8
2019-08-29,1,78709,8
2019-08-30,0,0,8
2019-08-31,1,53653,8
2019-09-01,1,16084,9
2019-09-02,0,0,9
2019-09-03,0,0,9
2019-09-04,0,0,9
2019-09-05,2,0,9
2019-09-06,0,0,9
2019-09-07,0,0,9
2019-09-08,1,0,9
2019-09-09,1,79366,9
2019-09-10,0,0,9
2019-09-11,0,0,9
2019-09-12,1,42645,9
2019-09-13,0,0,9
2019-09-14,1,76641,9
2019-09-15,0,0,9
2019-09-16,0,0,9
2019-09-17,0,0,9
2019-09-18,2,181671,9
2019-09-19,0,0,9
2019-09-20,0,0,9
2019-09-21,0,0,9
2019-09-22,1,79224,9
2019-09-23,0,0,9
2019-09-24,0,0,9
2019-09-25,2,77490,9
2019-09-26,0,0,9
2019-09-27,1,60522,9
2019-09-28,0,0,9
2019-09-29,0,0,9
2019-09-30,0,0,9
2019-10-01,0,0,10
2019-10-02,0,0,10
2019-10-03,0,0,10
2019-10-04,1,70432,10
2019-10-05,0,0,10
2019-10-06,1,0,10
2019-10-07,0,0,10
2019-10-08,0,0,10
2019-10-09,2,159389,10
2019-10-10,0,0,10
2019-10-11,2,58766,10
2019-10-12,0,0,10
2019-10-13,0,0,10
2019-10-14,0,0,10
2019-10-15,0,0,10
2019-10-16,1,49953,10
2019-10-17,1,35259,10
2019-10-18,1,0,10
2019-10-19,0,0,10
2019-10-20,0,0,10
2019-10-21,1,49953,10
2019-10-22,1,165193,10
2019-10-23,0,0,10
2019-10-24,0,0,10
2019-10-25,0,0,10
2019-10-26,0,0,10
2019-10-27,0,0,10
2019-10-28,1,0,10
2019-10-29,2,60588,10
2019-10-30,1,74539,10
2019-10-31,0,0,10
2019-11-01,0,0,11
2019-11-02,0,0,11
2019-11-03,2,75911,11
2019-11-04,0,0,11
2019-11-05,1,54885,11
2019-11-06,0,0,11
2019-11-07,1,0,11
2019-11-08,1,0,11
2019-11-09,0,0,11
2019-11-10,1,55089,11
2019-11-11,0,0,11
2019-11-12,0,0,11
2019-11-13,0,0,11
2019-11-14,1,0,11
2019-11-15,1,29972,11
2019-11-16,0,0,11
2019-11-17,0,0,11
2019-11-18,0,0,11
2019-11-19,0,0,11
2019-11-20,0,0,11
2019-11-21,2,166815,11
2019-11-22,0,0,11
2019-11-23,0,0,11
2019-11-24,0,0,11
2019-11-25,0,0,11
2019-11-26,2,0,11
2019-11-27,1,5612,11
2019-11-28,0,0,11
2019-11-29,0,0,11
2019-11-30,1,0,11
2019-12-01,0,0,12
2019-12-02,0,0,12
2019-12-03,0,0,12
2019-12-04,0,0,12
2019-12-05,1,0,12
2019-12-06,1,0,12
2019-12-07,0,0,12
2019-12-08,0,0,12
2019-12-09,1,0,12
2019-12-10,1,49953,12
2019-12-11,0,0,12
2019-12-12,0,0,12
2019-12-13,0,0,12
2019-12-14,0,0,12
2019-12-15,0,0,12
2019-12-16,0,0,12
2019-12-17,0,0,12
2019-12-18,0,0,12
2019-12-19,1,35989,12
2019-12-20,0,0,12
2019-12-21,1,164077,12
2019-12-22,0,0,12
2019-12-23,0,0,12
2019-12-24,0,0,12
2019-12-25,0,0,12
2019-12-26,1,49953,12
2019-12-27,0,0,12
2019-12-28,0,0,12
2019-12-29,1,0,12
2019-12-30,0,0,12
2019-12-31,0,0,12
2020-01-01,0,0,1
2020-01-02,0,0,1
2020-01-03,0,0,1
2020-01-04,0,0,1
2020-01-05,1,0,1
2020-01-06,0,0,1
2020-01-07,0,0,1
2020-01-08,1,36984,1
2020-01-09,0,0,1
2020-01-10,1,0,1
2020-01-11,0,0,1
2020-01-12,1,0,1
2020-01-13,1,0,1
2020-01-14,1,54494,1
2020-01-15,0,0,1
2020-01-16,0,0,1
2020-01-17,0,0,1
2020-01-18,0,0,1
2020-01-19,0,0,1
2020-01-20,0,0,1
2020-01-21,1,49953,1
2020-01-22,1,76266,1
2020-01-23,0,0,1
2020-01-24,0,0,1
2020-01-25,1,52886,1
2020-01-26,0,0,1
2020-01-27,0,0,1
2020-01-28,0,0,1
2020-01-29,0,0,1
2020-01-30,1,49953,1
2020-01-31,0,0,1
2020-02-01,1,22109,2
2020-02-02,0,0,2
2020-02-03,0,0,2
2020-02-04,0,0,2
2020-02-05,0,0,2
2020-02-06,0,0,2
2020-02-07,1,162271,2
2020-02-08,0,0,2
2020-02-09,0,0,2
2020-02-10,0,0,2
2020-02-11,0,0,2
2020-02-12,1,0,2
2020-02-13,1,77746,2
2020-02-14,0,0,2
2020-02-15,0,0,2
2020-02-16,1,0,2
2020-02-17,1,0,2
2020-02-18,0,0,2
2020-02-19,0,0,2
2020-02-20,0,0,2
2020-02-21,0,0,2
2020-02-22,1,45081,2
2020-02-23,0,0,2
2020-02-24,1,0,2
2020-02-25,0,0,2
2020-02-26,1,109280,2
2020-02-27,0,0,2
2020-02-28,1,46884,2
2020-02-29,0,0,2
2020-03-01,0,0,3
2020-03-02,1,0,3
2020-03-03,1,56243,3
2020-03-04,0,0,3
2020-03-05,0,0,3
2020-03-06,0,0,3
2020-03-07,1,53277,3
2020-03-08,0,0,3
2020-03-09,1,0,3
2020-03-10,0,0,3
2020-03-11,1,0,3
2020-03-12,1,49953,3
2020-03-13,0,0,3
2020-03-14,1,77995,3
2020-03-15,1,0,3
2020-03-16,0,0,3
2020-03-17,0,0,3
2020-03-18,0,0,3
2020-03-19,2,186870,3
2020-03-20,0,0,3
2020-03-21,2,63798,3
2020-03-22,0,0,3
2020-03-23,0,0,3
2020-03-24,1,0,3
2020-03-25,1,49953,3
2020-03-26,0,0,3
2020-03-27,1,91686,3
2020-03-28,0,0,3
2020-03-29,0,0,3
2020-03-30,1,0,3
2020-03-31,0,0,3
2020-04-01,0,0,4
2020-04-02,2,68865,4
2020-04-03,1,172700,4
2020-04-04,0,0,4
2020-04-05,0,0,4
2020-04-06,0,0,4
2020-04-07,0,0,4
2020-04-08,0,0,4
2020-04-09,1,0,4
2020-04-10,0,0,4
2020-04-11,0,0,4
2020-04-12,0,0,4
2020-04-13,0,0,4
2020-04-14,0,0,4
2020-04-15,0,0,4
2020-04-16,0,0,4
2020-04-17,0,0,4
2020-04-18,0,0,4
2020-04-19,0,0,4
2020-04-20,2,128623,4
2020-04-21,0,0,4
2020-04-22,1,0,4
2020-04-23,0,0,4
2020-04-24,1,82788,4
2020-04-25,1,0,4
2020-04-26,1,51117,4
2020-04-27,0,0,4
2020-04-28,0,0,4
2020-04-29,1,54328,4
2020-04-30,0,0,4
2020-05-01,1,0,5
2020-05-02,1,0,5
2020-05-03,0,0,5
2020-05-04,1,50121,5
2020-05-05,0,0,5
2020-05-06,0,0,5
2020-05-07,0,0,5
2020-05-08,1,49953,5
2020-05-09,2,58135,5
2020-05-10,1,0,5
2020-05-11,1,0,5
2020-05-12,0,0,5
2020-05-13,0,0,5
2020-05-14,0,0,5
2020-05-15,0,0,5
2020-05-16,0,0,5
2020-05-17,0,0,5
2020-05-18,0,0,5
2020-05-19,0,0,5
2020-05-20,0,0,5
2020-05-21,0,0,5
2020-05-22,0,0,5
2020-05-23,0,0,5
2020-05-24,1,0,5
2020-05-25,1,54205,5
2020-05-26,1,70111,5
2020-05-27,0,0,5
2020-05-28,0,0,5
2020-05-29,0,0,5
2020-05-30,1,78186,5
2020-05-31,0,0,5
2020-06-01,0,0,6
2020-06-02,0,0,6
2020-06-03,0,0,6
2020-06-04,1,0,6
2020-06-05,0,0,6
2020-06-06,0,0,6
2020-06-07,0,0,6
2020-06-08,0,0,6
2020-06-09,0,0,6
2020-06-10,0,0,6
2020-06-11,0,0,6
2020-06-12,0,0,6
2020-06-13,0,0,6
2020-06-14,1,164982,6
2020-06-15,0,0,6
2020-06-16,0,0,6
2020-06-17,0,0,6
2020-06-18,0,0,6
2020-06-19,0,0,6
2020-06-20,0,0,6
2020-06-21,0,0,6
2020-06-22,0,0,6
2020-06-23,0,0,6
2020-06-24,0,0,6
