date,portcalls_dry_bulk,export_dry_bulk,month
2019-01-01,0,0,1
2019-01-02,1,0,1
2019-01-03,2,114658,1
2019-01-04,0,0,1
2019-01-05,1,27941,1
2019-01-06,0,0,1
2019-01-07,1,13617,1
2019-01-08,1,39557,1
2019-01-09,0,0,1
2019-01-10,0,0,1
2019-01-11,1,141014,1
2019-01-12,2,106180,1
2019-01-13,1,48562,1
2019-01-14,0,0,1
2019-01-15,2,73660,1
2019-01-16,1,33036,1
2019-01-17,2,119105,1
2019-01-18,1,30482,1
2019-01-19,3,110096,1
2019-01-20,1,40014,1
2019-01-21,0,0,1
2019-01-22,1,0,1
2019-01-23,2,64881,1
2019-01-24,0,0,1
2019-01-25,0,0,1
2019-01-26,1,89454,1
2019-01-27,2,81849,1
2019-01-28,1,0,1
2019-01-29,2,43102,1
2019-01-30,0,0,1
2019-01-31,0,0,1
2019-02-01,0,0,2
2019-02-02,0,0,2
2019-02-03,0,0,2
2019-02-04,1,34680,2
2019-02-05,2,82234,2
2019-02-06,2,30691,2
2019-02-07,0,0,2
2019-02-08,2,110934,2
2019-02-09,3,67452,2
2019-02-10,0,0,2
2019-02-11,0,0,2
2019-02-12,1,0,2
2019-02-13,1,77821,2
2019-02-14,0,0,2
2019-02-15,3,153952,2
2019-02-16,1,34115,2
2019-02-17,0,0,2
2019-02-18,0,0,2
2019-02-19,0,0,2
2019-02-20,1,40014,2
2019-02-21,1,41846,2
2019-02-22,1,49263,2
2019-02-23,0,0,2
2019-02-24,1,140084,2
2019-02-25,0,0,2
2019-02-26,0,0,2
2019-02-27,1,27216,2
2019-02-28,2,12020,2
2019-03-01,1,22986,3
2019-03-02,1,22045,3
2019-03-03,1,78307,3
2019-03-04,1,57334,3
2019-03-05,2,84128,3
2019-03-06,1,23164,3
2019-03-07,3,71089,3
2019-03-08,1,33923,3
2019-03-09,1,85432,3
2019-03-10,1,0,3
2019-03-11,2,86401,3
2019-03-12,0,0,3
2019-03-13,1,26219,3
2019-03-14,2,40014,3
2019-03-15,2,29282,3
2019-03-16,1,45834,3
2019-03-17,1,32599,3
2019-03-18,1,0,3
2019-03-19,2,40014,3
2019-03-20,1,0,3
2019-03-21,3,128500,3
2019-03-22,1,46958,3
2019-03-23,0,0,3
2019-03-24,0,0,3
2019-03-25,0,0,3
2019-03-26,0,0,3
2019-03-27,0,0,3
2019-03-28,1,20134,3
2019-03-29,1,50771,3
2019-03-30,2,109431,3
2019-03-31,1,78277,3
2019-04-01,2,40014,4
2019-04-02,1,133944,4
2019-04-03,1,66639,4
2019-04-04,1,33079,4
2019-04-05,1,53363,4
2019-04-06,1,82978,4
2019-04-07,0,0,4
2019-04-08,1,53851,4
2019-04-09,0,0,4
2019-04-10,0,0,4
2019-04-11,2,75915,4
2019-04-12,1,134165,4
2019-04-13,0,0,4
2019-04-14,1,67277,4
2019-04-15,1,2211,4
2019-04-16,2,92724,4
2019-04-17,1,50607,4
2019-04-18,1,78928,4
2019-04-19,1,29794,4
2019-04-20,0,0,4
2019-04-21,0,0,4
2019-04-22,2,56895,4
2019-04-23,0,0,4
2019-04-24,0,0,4
2019-04-25,0,0,4
2019-04-26,1,20936,4
2019-04-27,0,0,4
2019-04-28,3,138417,4
2019-04-29,0,0,4
2019-04-30,1,66447,4
2019-05-01,1,70277,5
2019-05-02,1,81641,5
2019-05-03,3,127885,5
2019-05-04,0,0,5
2019-05-05,0,0,5
2019-05-06,1,40014,5
2019-05-07,0,0,5
2019-05-08,3,81443,5
2019-05-09,1,32525,5
2019-05-10,2,128481,5
2019-05-11,0,0,5
2019-05-12,0,0,5
2019-05-13,0,0,5
2019-05-14,0,0,5
2019-05-15,0,0,5
2019-05-16,2,95892,5
2019-05-17,2,167675,5
2019-05-18,1,78277,5
2019-05-19,1,66312,5
2019-05-20,0,0,5
2019-05-21,3,48244,5
2019-05-22,1,35060,5
2019-05-23,1,63171,5
2019-05-24,2,138478,5
2019-05-25,0,0,5
2019-05-26,1,39733,5
2019-05-27,0,0,5
2019-05-28,1,0,5
2019-05-29,0,0,5
2019-05-30,1,9622,5
2019-05-31,1,58877,5
2019-06-01,2,80029,6
2019-06-02,0,0,6
2019-06-03,1,85739,6
2019-06-04,1,58053,6
2019-06-05,1,40014,6
2019-06-06,0,0,6
2019-06-07,2,98143,6
2019-06-08,3,59439,6
2019-06-09,1,66771,6
2019-06-10,0,0,6
2019-06-11,2,114929,6
2019-06-12,1,0,6
2019-06-13,0,0,6
2019-06-14,1,51553,6
2019-06-15,0,0,6
2019-06-16,3,74205,6
2019-06-17,1,8278,6
2019-06-18,1,15051,6
2019-06-19,2,0,6
2019-06-20,0,0,6
2019-06-21,2,125225,6
2019-06-22,2,14553,6
2019-06-23,1,76193,6
2019-06-24,1,49452,6
2019-06-25,0,0,6
2019-06-26,1,33551,6
2019-06-27,2,60538,6
2019-06-28,0,0,6
2019-06-29,0,0,6
2019-06-30,1,61146,6
2019-07-01,2,159793,7
2019-07-02,0,0,7
2019-07-03,1,63432,7
2019-07-04,0,0,7
2019-07-05,1,79248,7
2019-07-06,1,0,7
2019-07-07,0,0,7
2019-07-08,0,0,7
2019-07-09,0,0,7
2019-07-10,0,0,7
2019-07-11,0,0,7
2019-07-12,2,91886,7
2019-07-13,1,58726,7
2019-07-14,2,69750,7
2019-07-15,0,0,7
2019-07-16,2,211824,7
2019-07-17,0,0,7
2019-07-18,0,0,7
2019-07-19,0,0,7
