date,portcalls_dry_bulk,export_dry_bulk,month
2019-01-01,1,72612,1
2019-01-02,0,0,1
2019-01-03,1,0,1
2019-01-04,1,0,1
2019-01-05,1,167689,1
2019-01-06,1,165141,1
2019-01-07,0,0,1
2019-01-08,1,78487,1
2019-01-09,2,132448,1
2019-01-10,1,67563,1
2019-01-11,1,100806,1
2019-01-12,1,63748,1
2019-01-13,2,238049,1
2019-01-14,0,0,1
2019-01-15,1,35735,1
2019-01-16,0,0,1
2019-01-17,1,65607,1
2019-01-18,2,116209,1
2019-01-19,1,65744,1
2019-01-20,1,173458,1
2019-01-21,0,0,1
2019-01-22,2,66881,1
2019-01-23,2,123825,1
2019-01-24,1,0,1
2019-01-25,1,64981,1
2019-01-26,1,0,1
2019-01-27,0,0,1
2019-01-28,0,0,1
2019-01-29,1,0,1
2019-01-30,1,68144,1
2019-01-31,1,167583,1
2019-02-01,0,0,2
2019-02-02,2,130411,2
2019-02-03,1,172454,2
2019-02-04,0,0,2
2019-02-05,1,73537,2
2019-02-06,1,64981,2
2019-02-07,1,165733,2
2019-02-08,1,71940,2
2019-02-09,2,72411,2
2019-02-10,0,0,2
2019-02-11,2,102485,2
2019-02-12,1,166306,2
2019-02-13,1,69733,2
2019-02-14,1,86903,2
2019-02-15,1,186384,2
2019-02-16,1,0,2
2019-02-17,1,64981,2
2019-02-18,1,164589,2
2019-02-19,0,0,2
2019-02-20,1,64405,2
2019-02-21,0,0,2
2019-02-22,1,72492,2
2019-02-23,1,164646,2
2019-02-24,0,0,2
2019-02-25,2,139955,2
2019-02-26,1,174672,2
2019-02-27,1,64981,2
2019-02-28,1,41415,2
2019-03-01,2,169911,3
2019-03-02,1,5812,3
2019-03-03,0,0,3
2019-03-04,1,78509,3
2019-03-05,1,75115,3
2019-03-06,1,68049,3
2019-03-07,1,160473,3
2019-03-08,1,58441,3
2019-03-09,1,74930,3
2019-03-10,1,75422,3
2019-03-11,1,175610,3
2019-03-12,0,0,3
2019-03-13,1,167598,3
2019-03-14,1,66545,3
2019-03-15,1,48265,3
2019-03-16,1,70440,3
2019-03-17,1,0,3
2019-03-18,3,178976,3
2019-03-19,0,0,3
2019-03-20,1,0,3
2019-03-21,1,166022,3
2019-03-22,1,73160,3
2019-03-23,1,0,3
2019-03-24,0,0,3
2019-03-25,1,0,3
2019-03-26,1,38484,3
2019-03-27,2,135958,3
2019-03-28,1,78522,3
2019-03-29,1,64981,3
2019-03-30,2,155215,3
2019-03-31,1,0,3
2019-04-01,1,161525,4
2019-04-02,1,0,4
2019-04-03,1,164219,4
2019-04-04,1,0,4
2019-04-05,1,0,4
2019-04-06,1,64981,4
2019-04-07,0,0,4
2019-04-08,1,167480,4
2019-04-09,1,71862,4
2019-04-10,1,71785,4
2019-04-11,1,70410,4
2019-04-12,1,48510,4
2019-04-13,1,171637,4
2019-04-14,1,64981,4
2019-04-15,1,171910,4
2019-04-16,1,171916,4
2019-04-17,0,0,4
2019-04-18,1,0,4
2019-04-19,2,39198,4
2019-04-20,1,0,4
2019-04-21,1,71922,4
2019-04-22,1,0,4
2019-04-23,1,67887,4
2019-04-24,2,0,4
2019-04-25,1,163916,4
2019-04-26,1,0,4
2019-04-27,0,0,4
2019-04-28,1,160725,4
2019-04-29,2,78474,4
2019-04-30,1,0,4
2019-05-01,1,78913,5
2019-05-02,1,34988,5
2019-05-03,0,0,5
2019-05-04,2,143140,5
2019-05-05,1,0,5
2019-05-06,2,136146,5
2019-05-07,1,161966,5
2019-05-08,1,90075,5
2019-05-09,1,165267,5
2019-05-10,0,0,5
2019-05-11,2,113634,5
2019-05-12,1,33204,5
2019-05-13,1,0,5
2019-05-14,2,110455,5
2019-05-15,1,78528,5
2019-05-16,1,1051,5
2019-05-17,1,70652,5
2019-05-18,1,67657,5
2019-05-19,1,0,5
2019-05-20,0,0,5
2019-05-21,0,0,5
2019-05-22,2,231442,5
2019-05-23,0,0,5
2019-05-24,2,69655,5
2019-05-25,1,136738,5
2019-05-26,1,78012,5
2019-05-27,0,0,5
2019-05-28,1,163989,5
2019-05-29,1,76737,5
2019-05-30,2,141495,5
2019-05-31,0,0,5
2019-06-01,1,59678,6
2019-06-02,2,0,6
2019-06-03,1,0,6
2019-06-04,1,55812,6
2019-06-05,1,72753,6
2019-06-06,1,78196,6
2019-06-07,2,243262,6
2019-06-08,0,0,6
2019-06-09,2,47822,6
2019-06-10,1,68934,6
2019-06-11,1,0,6
2019-06-12,2,72695,6
2019-06-13,1,0,6
2019-06-14,1,89096,6
2019-06-15,1,0,6
2019-06-16,1,64981,6
2019-06-17,1,71604,6
2019-06-18,1,88592,6
2019-06-19,1,64981,6
2019-06-20,1,63706,6
2019-06-21,2,131203,6
2019-06-22,1,0,6
2019-06-23,0,0,6
2019-06-24,1,169046,6
2019-06-25,0,0,6
2019-06-26,1,64919,6
2019-06-27,1,33971,6
2019-06-28,1,75893,6
2019-06-29,1,46899,6
2019-06-30,1,56865,6
2019-07-01,1,0,7
2019-07-02,0,0,7
2019-07-03,2,137393,7
2019-07-04,0,0,7
2019-07-05,1,167860,7
2019-07-06,2,72635,7
2019-07-07,0,0,7
2019-07-08,2,157946,7
2019-07-09,1,68777,7
2019-07-10,1,0,7
2019-07-11,0,0,7
2019-07-12,2,64273,7
2019-07-13,1,0,7
2019-07-14,1,0,7
2019-07-15,0,0,7
2019-07-16,2,141139,7
2019-07-17,1,0,7
2019-07-18,1,52625,7
2019-07-19,2,137850,7
2019-07-20,1,65062,7
2019-07-21,2,132532,7
2019-07-22,1,166795,7
2019-07-23,0,0,7
2019-07-24,1,35997,7
2019-07-25,0,0,7
2019-07-26,2,71033,7
2019-07-27,1,78514,7
2019-07-28,1,81768,7
2019-07-29,2,35315,7
2019-07-30,2,17333,7
2019-07-31,1,58360,7
2019-08-01,1,64981,8
2019-08-02,1,0,8
2019-08-03,0,0,8
2019-08-04,2,0,8
2019-08-05,0,0,8
2019-08-06,1,172944,8
2019-08-07,1,30328,8
2019-08-08,2,33298,8
2019-08-09,1,89096,8
2019-08-10,0,0,8
2019-08-11,0,0,8
2019-08-12,2,252461,8
2019-08-13,1,77256,8
2019-08-14,1,39643,8
2019-08-15,2,67617,8
2019-08-16,1,72452,8
2019-08-17,2,0,8
2019-08-18,1,64901,8
2019-08-19,2,101919,8
2019-08-20,2,71034,8
2019-08-21,1,0,8
2019-08-22,1,83636,8
2019-08-23,1,71184,8
2019-08-24,1,60318,8
2019-08-25,1,73537,8
2019-08-26,1,0,8
2019-08-27,2,112640,8
2019-08-28,1,33204,8
2019-08-29,2,99631,8
2019-08-30,1,72023,8
2019-08-31,2,233823,8
2019-09-01,0,0,9
2019-09-02,2,673,9
2019-09-03,0,0,9
2019-09-04,2,143409,9
2019-09-05,1,36901,9
2019-09-06,1,172138,9
2019-09-07,1,164491,9
2019-09-08,1,0,9
2019-09-09,1,0,9
2019-09-10,0,0,9
2019-09-11,0,0,9
2019-09-12,1,0,9
2019-09-13,1,26299,9
2019-09-14,1,78196,9
2019-09-15,1,191743,9
2019-09-16,1,0,9
2019-09-17,2,108611,9
2019-09-18,0,0,9
2019-09-19,1,0,9
2019-09-20,1,48673,9
2019-09-21,1,0,9
2019-09-22,1,78835,9
2019-09-23,1,75538,9
2019-09-24,1,72561,9
2019-09-25,1,76680,9
2019-09-26,2,236054,9
2019-09-27,0,0,9
2019-09-28,1,31832,9
2019-09-29,1,0,9
2019-09-30,1,79160,9
2019-10-01,1,100806,10
2019-10-02,1,0,10
2019-10-03,1,64981,10
2019-10-04,1,0,10
2019-10-05,1,63458,10
2019-10-06,1,2421,10
2019-10-07,1,186384,10
2019-10-08,1,57861,10
2019-10-09,1,0,10
2019-10-10,1,72753,10
2019-10-11,2,227759,10
2019-10-12,0,0,10
2019-10-13,2,225216,10
2019-10-14,0,0,10
2019-10-15,1,10427,10
2019-10-16,2,245189,10
2019-10-17,1,79417,10
2019-10-18,1,77134,10
2019-10-19,2,103563,10
2019-10-20,1,0,10
2019-10-21,1,0,10
2019-10-22,1,90385,10
2019-10-23,1,75832,10
2019-10-24,2,230429,10
2019-10-25,0,0,10
2019-10-26,2,72010,10
2019-10-27,1,163983,10
2019-10-28,1,138,10
2019-10-29,1,0,10
2019-10-30,0,0,10
2019-10-31,1,69259,10
2019-11-01,1,173641,11
2019-11-02,1,70330,11
2019-11-03,1,64981,11
2019-11-04,0,0,11
2019-11-05,1,174814,11
2019-11-06,0,0,11
2019-11-07,2,0,11
2019-11-08,1,0,11
2019-11-09,1,178420,11
2019-11-10,1,64981,11
2019-11-11,2,157058,11
2019-11-12,1,0,11
2019-11-13,1,0,11
2019-11-14,1,165285,11
2019-11-15,0,0,11
2019-11-16,2,271549,11
2019-11-17,0,0,11
2019-11-18,1,0,11
2019-11-19,0,0,11
2019-11-20,0,0,11
2019-11-21,0,0,11
2019-11-22,2,245019,11
2019-11-23,1,64981,11
2019-11-24,1,77196,11
2019-11-25,2,145137,11
2019-11-26,1,69106,11
2019-11-27,0,0,11
2019-11-28,1,34340,11
2019-11-29,0,0,11
2019-11-30,1,166894,11
2019-12-01,1,0,12
2019-12-02,2,221351,12
2019-12-03,0,0,12
2019-12-04,1,32562,12
2019-12-05,1,87533,12
2019-12-06,0,0,12
2019-12-07,1,0,12
2019-12-08,1,100806,12
2019-12-09,0,0,12
2019-12-10,2,93961,12
2019-12-11,1,64981,12
2019-12-12,1,64981,12
2019-12-13,2,77656,12
2019-12-14,0,0,12
2019-12-15,1,64981,12
2019-12-16,0,0,12
2019-12-17,1,40692,12
2019-12-18,1,64981,12
2019-12-19,0,0,12
2019-12-20,2,142946,12
2019-12-21,0,0,12
2019-12-22,0,0,12
2019-12-23,1,60250,12
2019-12-24,1,64981,12
2019-12-25,1,0,12
2019-12-26,0,0,12
2019-12-27,2,154005,12
2019-12-28,1,57482,12
2019-12-29,2,39198,12
2019-12-30,1,66964,12
2019-12-31,1,167559,12
2020-01-01,1,71011,1
2020-01-02,0,0,1
2020-01-03,1,0,1
2020-01-04,1,65908,1
2020-01-05,2,78178,1
2020-01-06,1,73916,1
2020-01-07,1,64981,1
2020-01-08,1,68521,1
2020-01-09,1,171910,1
2020-01-10,0,0,1
2020-01-11,2,189903,1
2020-01-12,0,0,1
2020-01-13,1,71395,1
2020-01-14,1,73610,1
2020-01-15,2,64981,1
2020-01-16,1,0,1
2020-01-17,1,64981,1
2020-01-18,1,47084,1
2020-01-19,1,169273,1
2020-01-20,0,0,1
2020-01-21,1,64981,1
2020-01-22,1,64981,1
2020-01-23,1,168802,1
2020-01-24,1,64981,1
2020-01-25,1,0,1
2020-01-26,1,65720,1
2020-01-27,1,64981,1
2020-01-28,0,0,1
2020-01-29,1,64981,1
2020-01-30,1,0,1
2020-01-31,1,165970,1
2020-02-01,1,100806,2
2020-02-02,0,0,2
2020-02-03,0,0,2
2020-02-04,2,70866,2
2020-02-05,1,191160,2
2020-02-06,1,65025,2
2020-02-07,2,135402,2
2020-02-08,1,0,2
2020-02-09,1,72631,2
2020-02-10,1,164282,2
2020-02-11,1,0,2
2020-02-12,1,166448,2
2020-02-13,0,0,2
2020-02-14,1,78135,2
2020-02-15,1,167224,2
2020-02-16,1,0,2
2020-02-17,1,58163,2
2020-02-18,1,0,2
2020-02-19,1,85402,2
2020-02-20,1,74306,2
2020-02-21,1,64981,2
2020-02-22,0,0,2
2020-02-23,1,0,2
2020-02-24,1,70330,2
2020-02-25,1,165213,2
2020-02-26,1,42156,2
2020-02-27,1,75882,2
2020-02-28,1,67497,2
2020-02-29,2,48236,2
2020-03-01,0,0,3
2020-03-02,2,69128,3
2020-03-03,0,0,3
2020-03-04,1,0,3
