date,portcalls_dry_bulk,export_dry_bulk,month
2019-01-01,2,49180,1
2019-01-02,1,15722,1
2019-01-03,1,38764,1
2019-01-04,2,107496,1
2019-01-05,2,117592,1
2019-01-06,3,187145,1
2019-01-07,2,114458,1
2019-01-08,0,0,1
2019-01-09,3,65784,1
2019-01-10,0,0,1
2019-01-11,6,300393,1
2019-01-12,1,72459,1
2019-01-13,1,39523,1
2019-01-14,2,110356,1
2019-01-15,0,0,1
2019-01-16,1,82273,1
2019-01-17,2,91162,1
2019-01-18,4,93651,1
2019-01-19,1,38751,1
2019-01-20,2,148205,1
2019-01-21,1,76943,1
2019-01-22,1,37345,1
2019-01-23,1,3322,1
2019-01-24,1,40594,1
2019-01-25,1,6608,1
2019-01-26,5,238384,1
2019-01-27,2,156531,1
2019-01-28,0,0,1
2019-01-29,1,2766,1
2019-01-30,1,72504,1
2019-01-31,1,53357,1
2019-02-01,3,125454,2
2019-02-02,2,113116,2
2019-02-03,1,39042,2
2019-02-04,0,0,2
2019-02-05,2,105146,2
2019-02-06,1,32810,2
2019-02-07,1,23841,2
2019-02-08,1,45050,2
2019-02-09,2,94445,2
2019-02-10,1,77881,2
2019-02-11,3,221360,2
2019-02-12,1,21871,2
2019-02-13,0,0,2
2019-02-14,3,205661,2
2019-02-15,1,33841,2
2019-02-16,3,108632,2
2019-02-17,1,35599,2
2019-02-18,0,0,2
2019-02-19,3,112344,2
2019-02-20,2,30776,2
2019-02-21,0,0,2
2019-02-22,4,174757,2
2019-02-23,1,69264,2
2019-02-24,1,37372,2
2019-02-25,3,135311,2
2019-02-26,2,101418,2
2019-02-27,2,98641,2
2019-02-28,1,26612,2
2019-03-01,0,0,3
2019-03-02,1,75100,3
2019-03-03,1,84150,3
2019-03-04,3,180308,3
2019-03-05,2,63084,3
2019-03-06,1,43152,3
2019-03-07,1,73125,3
2019-03-08,3,128241,3
2019-03-09,2,55602,3
2019-03-10,1,39613,3
2019-03-11,2,79847,3
2019-03-12,2,73552,3
2019-03-13,2,37623,3
2019-03-14,2,36486,3
2019-03-15,0,0,3
2019-03-16,1,6448,3
2019-03-17,2,146353,3
2019-03-18,1,0,3
2019-03-19,2,79739,3
2019-03-20,2,136857,3
2019-03-21,2,139104,3
2019-03-22,2,106403,3
2019-03-23,0,0,3
2019-03-24,2,134468,3
2019-03-25,2,150477,3
2019-03-26,2,115766,3
2019-03-27,2,117218,3
2019-03-28,2,48425,3
2019-03-29,0,0,3
2019-03-30,2,174674,3
2019-03-31,3,82436,3
2019-04-01,2,34335,4
2019-04-02,4,167648,4
2019-04-03,1,55867,4
2019-04-04,1,68059,4
2019-04-05,3,168817,4
2019-04-06,5,287488,4
2019-04-07,2,56843,4
2019-04-08,0,0,4
2019-04-09,1,76335,4
2019-04-10,0,0,4
2019-04-11,3,169898,4
2019-04-12,3,95573,4
2019-04-13,2,33854,4
2019-04-14,1,44106,4
2019-04-15,4,126705,4
