date,portcalls_dry_bulk,export_dry_bulk,month
2019-01-01,1,37285,1
2019-01-02,3,221856,1
2019-01-03,1,81441,1
2019-01-04,4,109289,1
2019-01-05,0,0,1
2019-01-06,1,66021,1
2019-01-07,4,102407,1
2019-01-08,3,148296,1
2019-01-09,0,0,1
2019-01-10,1,72243,1
2019-01-11,1,32965,1
2019-01-12,3,94639,1
2019-01-13,2,105480,1
2019-01-14,1,32144,1
2019-01-15,4,206210,1
2019-01-16,1,0,1
2019-01-17,2,111173,1
2019-01-18,2,43903,1
2019-01-19,2,57722,1
2019-01-20,3,55009,1
2019-01-21,3,137047,1
2019-01-22,2,33474,1
2019-01-23,2,123434,1
2019-01-24,1,41166,1
2019-01-25,4,146494,1
2019-01-26,1,72545,1
2019-01-27,1,55425,1
2019-01-28,2,71837,1
2019-01-29,2,99329,1
2019-01-30,3,91180,1
2019-01-31,3,92160,1
2019-02-01,3,127191,2
2019-02-02,2,85124,2
2019-02-03,1,49353,2
2019-02-04,4,127595,2
2019-02-05,2,59768,2
2019-02-06,2,113981,2
2019-02-07,1,41166,2
2019-02-08,1,19332,2
2019-02-09,3,87758,2
2019-02-10,2,18615,2
2019-02-11,3,105848,2
2019-02-12,4,175986,2
2019-02-13,2,89720,2
2019-02-14,1,88545,2
2019-02-15,3,62155,2
2019-02-16,3,159443,2
2019-02-17,2,55654,2
2019-02-18,3,94808,2
2019-02-19,1,65581,2
2019-02-20,1,16271,2
2019-02-21,2,92430,2
2019-02-22,2,52719,2
2019-02-23,3,85232,2
2019-02-24,2,38318,2
2019-02-25,4,148267,2
2019-02-26,1,61863,2
2019-02-27,2,49753,2
2019-02-28,2,114785,2
2019-03-01,4,145282,3
2019-03-02,1,14364,3
2019-03-03,3,159825,3
2019-03-04,3,139895,3
2019-03-05,2,53397,3
2019-03-06,3,64990,3
2019-03-07,2,47631,3
2019-03-08,2,52312,3
2019-03-09,3,49651,3
2019-03-10,6,176394,3
2019-03-11,3,78888,3
2019-03-12,3,97868,3
2019-03-13,0,0,3
2019-03-14,5,181335,3
2019-03-15,2,106163,3
2019-03-16,3,137456,3
2019-03-17,2,92597,3
2019-03-18,1,33238,3
2019-03-19,4,179972,3
2019-03-20,3,103796,3
2019-03-21,1,14103,3
2019-03-22,5,141301,3
2019-03-23,2,16590,3
2019-03-24,2,78859,3
2019-03-25,2,100294,3
2019-03-26,0,0,3
2019-03-27,3,102142,3
2019-03-28,4,107614,3
2019-03-29,2,19393,3
2019-03-30,3,88589,3
2019-03-31,3,122973,3
2019-04-01,2,31935,4
2019-04-02,2,113853,4
2019-04-03,2,84109,4
2019-04-04,4,285337,4
2019-04-05,3,91270,4
2019-04-06,0,0,4
2019-04-07,2,181333,4
2019-04-08,4,93109,4
2019-04-09,0,0,4
2019-04-10,4,142525,4
2019-04-11,3,146545,4
2019-04-12,1,65647,4
2019-04-13,3,102666,4
2019-04-14,0,0,4
2019-04-15,3,111562,4
2019-04-16,3,196235,4
2019-04-17,3,106432,4
2019-04-18,0,0,4
2019-04-19,2,103125,4
2019-04-20,3,32994,4
2019-04-21,4,161399,4
2019-04-22,2,55654,4
2019-04-23,3,41166,4
2019-04-24,5,227843,4
2019-04-25,1,26691,4
2019-04-26,2,77012,4
2019-04-27,2,133953,4
2019-04-28,0,0,4
2019-04-29,2,100248,4
2019-04-30,2,68082,4
2019-05-01,4,80205,5
2019-05-02,4,94755,5
2019-05-03,2,145717,5
2019-05-04,5,154845,5
2019-05-05,2,79429,5
2019-05-06,1,41166,5
2019-05-07,2,76149,5
2019-05-08,2,55804,5
2019-05-09,3,85891,5
2019-05-10,2,199125,5
2019-05-11,2,75436,5
2019-05-12,4,185993,5
2019-05-13,1,14524,5
2019-05-14,1,42978,5
2019-05-15,1,53739,5
2019-05-16,2,72685,5
2019-05-17,3,62843,5
2019-05-18,1,81571,5
2019-05-19,2,14364,5
2019-05-20,1,75951,5
2019-05-21,3,98135,5
2019-05-22,2,70548,5
2019-05-23,2,124795,5
2019-05-24,1,45556,5
2019-05-25,0,0,5
2019-05-26,2,106004,5
2019-05-27,0,0,5
2019-05-28,3,74452,5
2019-05-29,2,82904,5
2019-05-30,1,1218,5
2019-05-31,3,116945,5
2019-06-01,1,41166,6
2019-06-02,0,0,6
2019-06-03,0,0,6
2019-06-04,3,91521,6
2019-06-05,2,82051,6
2019-06-06,2,77244,6
2019-06-07,1,23937,6
2019-06-08,3,179174,6
2019-06-09,0,0,6
2019-06-10,3,122994,6
2019-06-11,2,68025,6
2019-06-12,5,117461,6
2019-06-13,1,17108,6
2019-06-14,3,124591,6
2019-06-15,3,84628,6
2019-06-16,3,46168,6
2019-06-17,2,72638,6
2019-06-18,3,104849,6
2019-06-19,3,173871,6
2019-06-20,2,78283,6
2019-06-21,4,168559,6
2019-06-22,3,100907,6
2019-06-23,2,66466,6
2019-06-24,2,54330,6
2019-06-25,0,0,6
2019-06-26,2,88165,6
2019-06-27,4,133989,6
2019-06-28,2,123850,6
2019-06-29,3,56692,6
2019-06-30,1,10408,6
2019-07-01,2,34618,7
2019-07-02,3,147648,7
2019-07-03,0,0,7
2019-07-04,3,125949,7
2019-07-05,4,188914,7
2019-07-06,2,67843,7
2019-07-07,1,15411,7
2019-07-08,3,110759,7
2019-07-09,2,119741,7
2019-07-10,0,0,7
2019-07-11,2,89954,7
2019-07-12,1,24548,7
2019-07-13,4,217053,7
2019-07-14,2,55936,7
2019-07-15,2,82658,7
2019-07-16,1,26712,7
2019-07-17,2,60441,7
2019-07-18,1,14103,7
2019-07-19,3,72470,7
2019-07-20,3,95388,7
2019-07-21,0,0,7
2019-07-22,1,26679,7
2019-07-23,3,43290,7
2019-07-24,4,162909,7
2019-07-25,1,49713,7
2019-07-26,2,76776,7
2019-07-27,2,56972,7
2019-07-28,2,86002,7
2019-07-29,0,0,7
2019-07-30,1,41166,7
2019-07-31,3,84547,7
2019-08-01,3,130740,8
2019-08-02,1,52870,8
2019-08-03,2,192281,8
2019-08-04,2,34482,8
2019-08-05,0,0,8
2019-08-06,1,14103,8
2019-08-07,4,93882,8
2019-08-08,5,66762,8
2019-08-09,2,111063,8
2019-08-10,1,10179,8
2019-08-11,1,128147,8
2019-08-12,3,147859,8
2019-08-13,2,59613,8
2019-08-14,1,29919,8
2019-08-15,1,41166,8
2019-08-16,1,86519,8
2019-08-17,2,24283,8
2019-08-18,1,31967,8
2019-08-19,2,89553,8
2019-08-20,2,82681,8
2019-08-21,1,13842,8
2019-08-22,2,82582,8
2019-08-23,3,52932,8
2019-08-24,2,71523,8
2019-08-25,0,0,8
2019-08-26,4,160560,8
2019-08-27,1,59754,8
2019-08-28,2,29814,8
2019-08-29,2,55955,8
2019-08-30,1,19293,8
2019-08-31,4,72294,8
2019-09-01,1,41166,9
2019-09-02,2,70859,9
2019-09-03,0,0,9
2019-09-04,2,98568,9
2019-09-05,1,0,9
2019-09-06,0,0,9
2019-09-07,1,69014,9
2019-09-08,0,0,9
2019-09-09,0,0,9
2019-09-10,3,90683,9
2019-09-11,2,138277,9
2019-09-12,1,12649,9
2019-09-13,1,13301,9
2019-09-14,4,128688,9
2019-09-15,2,72882,9
2019-09-16,0,0,9
2019-09-17,2,44163,9
2019-09-18,1,22316,9
2019-09-19,4,105594,9
2019-09-20,2,49079,9
2019-09-21,5,157771,9
2019-09-22,2,114370,9
2019-09-23,2,132860,9
2019-09-24,0,0,9
2019-09-25,2,42190,9
2019-09-26,2,117076,9
2019-09-27,1,0,9
2019-09-28,2,68052,9
2019-09-29,2,67497,9
2019-09-30,2,147385,9
2019-10-01,4,166644,10
2019-10-02,0,0,10
2019-10-03,3,0,10
2019-10-04,2,66111,10
2019-10-05,1,41166,10
2019-10-06,1,0,10
2019-10-07,3,125767,10
2019-10-08,0,0,10
2019-10-09,1,17134,10
2019-10-10,4,114617,10
2019-10-11,3,87981,10
2019-10-12,0,0,10
2019-10-13,1,26522,10
2019-10-14,2,70298,10
2019-10-15,1,83625,10
2019-10-16,1,74313,10
2019-10-17,3,37564,10
2019-10-18,5,127661,10
2019-10-19,0,0,10
2019-10-20,3,70796,10
2019-10-21,2,57953,10
2019-10-22,1,41166,10
2019-10-23,3,116841,10
2019-10-24,0,0,10
2019-10-25,2,173693,10
2019-10-26,2,68404,10
2019-10-27,2,26711,10
2019-10-28,5,103835,10
2019-10-29,0,0,10
2019-10-30,1,36794,10
2019-10-31,3,77134,10
2019-11-01,5,304202,11
2019-11-02,2,85838,11
2019-11-03,0,0,11
2019-11-04,2,88167,11
2019-11-05,3,104020,11
2019-11-06,3,125041,11
2019-11-07,2,43998,11
2019-11-08,2,23715,11
2019-11-09,5,193845,11
2019-11-10,1,18334,11
2019-11-11,1,38136,11
2019-11-12,1,15563,11
2019-11-13,1,16607,11
2019-11-14,6,185856,11
2019-11-15,2,37871,11
2019-11-16,0,0,11
2019-11-17,4,112137,11
2019-11-18,0,0,11
2019-11-19,0,0,11
2019-11-20,3,204465,11
2019-11-21,3,67252,11
2019-11-22,4,102221,11
2019-11-23,2,62078,11
2019-11-24,2,119014,11
2019-11-25,1,29383,11
2019-11-26,4,81411,11
2019-11-27,2,91333,11
2019-11-28,2,42734,11
2019-11-29,3,55058,11
2019-11-30,3,140707,11
2019-12-01,1,56544,12
2019-12-02,1,18912,12
2019-12-03,1,86491,12
2019-12-04,2,118848,12
2019-12-05,4,76684,12
2019-12-06,1,26915,12
2019-12-07,1,41166,12
2019-12-08,5,67776,12
2019-12-09,1,41166,12
2019-12-10,5,145926,12
2019-12-11,3,109604,12
2019-12-12,1,41166,12
2019-12-13,2,69804,12
2019-12-14,1,41166,12
2019-12-15,3,144393,12
2019-12-16,4,155813,12
2019-12-17,2,128442,12
2019-12-18,2,99980,12
2019-12-19,1,54617,12
2019-12-20,3,73881,12
2019-12-21,2,41166,12
2019-12-22,1,41166,12
2019-12-23,5,163102,12
2019-12-24,0,0,12
2019-12-25,3,126851,12
2019-12-26,0,0,12
2019-12-27,4,186677,12
2019-12-28,0,0,12
2019-12-29,3,148246,12
2019-12-30,3,91817,12
2019-12-31,1,43275,12
2020-01-01,3,80394,1
2020-01-02,3,168908,1
2020-01-03,0,0,1
2020-01-04,1,41166,1
2020-01-05,2,112979,1
2020-01-06,3,126511,1
2020-01-07,4,78657,1
2020-01-08,1,62175,1
2020-01-09,2,32188,1
2020-01-10,2,87155,1
2020-01-11,1,83357,1
2020-01-12,5,229220,1
2020-01-13,1,16950,1
2020-01-14,0,0,1
2020-01-15,3,93861,1
2020-01-16,3,96698,1
2020-01-17,1,63300,1
2020-01-18,2,47590,1
2020-01-19,2,6333,1
2020-01-20,1,15831,1
2020-01-21,4,163087,1
2020-01-22,3,112766,1
2020-01-23,2,77821,1
2020-01-24,4,164584,1
2020-01-25,3,118741,1
2020-01-26,2,48892,1
2020-01-27,2,21875,1
2020-01-28,1,85522,1
2020-01-29,1,29235,1
2020-01-30,0,0,1
2020-01-31,3,86453,1
2020-02-01,4,186348,2
2020-02-02,3,74841,2
2020-02-03,2,55336,2
2020-02-04,5,206855,2
2020-02-05,2,106453,2
2020-02-06,2,59748,2
2020-02-07,2,67970,2
2020-02-08,2,115391,2
2020-02-09,3,66102,2
2020-02-10,4,109488,2
2020-02-11,2,120942,2
2020-02-12,2,87587,2
2020-02-13,1,42920,2
2020-02-14,3,188353,2
2020-02-15,4,223957,2
2020-02-16,0,0,2
2020-02-17,0,0,2
2020-02-18,0,0,2
2020-02-19,1,20380,2
2020-02-20,3,102417,2
2020-02-21,3,75739,2
2020-02-22,2,103448,2
2020-02-23,3,175980,2
2020-02-24,0,0,2
2020-02-25,6,134086,2
2020-02-26,0,0,2
2020-02-27,1,55056,2
2020-02-28,1,33535,2
2020-02-29,4,149455,2
2020-03-01,3,132831,3
2020-03-02,4,85070,3
2020-03-03,2,63098,3
2020-03-04,0,0,3
