date,portcalls_dry_bulk,import_dry_bulk,export_dry_bulk,month
2019-01-01,2,53370,55139,1
2019-01-02,4,145562,49790,1
2019-01-03,2,20294,54832,1
2019-01-04,2,20294,30399,1
2019-01-05,2,69648,30399,1
2019-01-06,2,78590,64162,1
2019-01-07,3,57266,45359,1
2019-01-08,2,69545,30399,1
2019-01-09,1,0,5731,1
2019-01-10,0,0,0,1
2019-01-11,4,139750,91199,1
2019-01-12,3,54260,34522,1
2019-01-13,1,20294,30399,1
2019-01-14,3,40589,131753,1
2019-01-15,3,20294,58519,1
2019-01-16,2,72482,75368,1
2019-01-17,1,18807,0,1
2019-01-18,1,0,53299,1
2019-01-19,2,20294,105908,1
2019-01-20,2,20294,85539,1
2019-01-21,3,74539,55004,1
2019-01-22,2,0,142477,1
2019-01-23,0,0,0,1
2019-01-24,2,0,0,1
2019-01-25,3,47598,60799,1
2019-01-26,0,0,0,1
2019-01-27,1,0,26143,1
2019-01-28,3,21383,695,1
2019-01-29,2,139,48099,1
2019-01-30,4,177423,44986,1
2019-01-31,1,0,55544,1
2019-02-01,4,20294,201417,2
2019-02-02,2,40589,60799,2
2019-02-03,3,0,135625,2
2019-02-04,8,298934,108239,2
2019-02-05,1,0,64162,2
2019-02-06,1,0,4559,2
2019-02-07,2,20294,30399,2
2019-02-08,2,20294,30399,2
2019-02-09,1,0,68997,2
2019-02-10,1,20294,30399,2
2019-02-11,2,20294,64284,2
2019-02-12,1,73237,0,2
2019-02-13,0,0,0,2
2019-02-14,3,42483,30399,2
2019-02-15,0,0,0,2
2019-02-16,5,188677,149263,2
2019-02-17,3,90859,5560,2
2019-02-18,2,78177,71422,2
2019-02-19,2,20294,51546,2
2019-02-20,2,20294,105768,2
2019-02-21,2,43069,20726,2
2019-02-22,3,40589,88945,2
2019-02-23,4,99956,142264,2
2019-02-24,1,78129,0,2
2019-02-25,3,20294,129532,2
2019-02-26,4,73626,133130,2
2019-02-27,2,20294,97737,2
2019-02-28,0,0,0,2
2019-03-01,2,40589,60799,3
2019-03-02,2,0,56804,3
2019-03-03,4,98505,30399,3
2019-03-04,2,40589,60799,3
2019-03-05,4,25768,86585,3
2019-03-06,1,0,75368,3
2019-03-07,1,1968,0,3
2019-03-08,2,33457,30399,3
2019-03-09,2,78777,24379,3
2019-03-10,1,0,28628,3
2019-03-11,1,0,0,3
2019-03-12,5,265609,59544,3
2019-03-13,0,0,0,3
2019-03-14,4,71200,133971,3
2019-03-15,2,125429,0,3
2019-03-16,3,30099,104026,3
2019-03-17,2,0,122904,3
2019-03-18,4,91636,146669,3
2019-03-19,3,46651,126359,3
2019-03-20,2,0,77593,3
2019-03-21,1,0,26448,3
2019-03-22,4,256044,30399,3
2019-03-23,3,73846,85539,3
2019-03-24,2,33388,0,3
2019-03-25,1,72315,0,3
2019-03-26,6,116894,199168,3
2019-03-27,3,97793,85373,3
2019-03-28,1,0,0,3
2019-03-29,4,95152,85029,3
2019-03-30,2,21779,54494,3
2019-03-31,1,0,54000,3
2019-04-01,2,99155,30399,4
2019-04-02,1,0,66331,4
2019-04-03,2,58584,73626,4
2019-04-04,1,24038,0,4
2019-04-05,2,60983,68683,4
2019-04-06,0,0,0,4
2019-04-07,1,2071,0,4
2019-04-08,0,0,0,4
2019-04-09,2,51322,0,4
2019-04-10,4,151511,110655,4
2019-04-11,1,0,58490,4
2019-04-12,3,153698,52980,4
2019-04-13,2,20294,85539,4
2019-04-14,4,126266,89983,4
2019-04-15,1,0,65218,4
2019-04-16,2,37312,20459,4
2019-04-17,3,17882,134633,4
2019-04-18,2,20294,96731,4
2019-04-19,3,82330,0,4
2019-04-20,3,0,127880,4
2019-04-21,2,61069,30399,4
2019-04-22,4,61904,116445,4
2019-04-23,1,0,53390,4
2019-04-24,0,0,0,4
2019-04-25,4,81329,146265,4
2019-04-26,2,0,123196,4
2019-04-27,2,151598,0,4
2019-04-28,4,40589,107726,4
2019-04-29,2,0,94394,4
2019-04-30,2,1601,67337,4
2019-05-01,0,0,0,5
2019-05-02,0,0,0,5
2019-05-03,0,0,0,5
2019-05-04,2,99658,0,5
2019-05-05,1,20294,30399,5
2019-05-06,1,61549,0,5
2019-05-07,6,118442,167080,5
2019-05-08,3,135493,30399,5
2019-05-09,3,83823,138468,5
2019-05-10,0,0,0,5
2019-05-11,1,0,46936,5
2019-05-12,2,152459,0,5
2019-05-13,1,0,53465,5
2019-05-14,3,20990,101386,5
2019-05-15,1,20294,30399,5
2019-05-16,2,75277,11111,5
2019-05-17,3,36237,110324,5
2019-05-18,3,58644,60799,5
2019-05-19,3,40589,119426,5
2019-05-20,1,0,51876,5
2019-05-21,2,0,115946,5
2019-05-22,3,126121,30399,5
2019-05-23,3,0,172780,5
2019-05-24,3,40589,108838,5
2019-05-25,3,43689,123907,5
2019-05-26,3,40117,1464,5
2019-05-27,4,76832,105396,5
2019-05-28,2,0,55324,5
2019-05-29,2,0,75794,5
2019-05-30,2,0,23834,5
2019-05-31,6,212030,59157,5
2019-06-01,3,42475,51378,6
2019-06-02,3,47337,90988,6
2019-06-03,2,47577,0,6
2019-06-04,2,53071,47324,6
2019-06-05,4,53350,84234,6
2019-06-06,2,102499,0,6
2019-06-07,3,78168,101289,6
2019-06-08,4,20294,164938,6
2019-06-09,2,0,125152,6
2019-06-10,2,20294,85247,6
2019-06-11,5,74929,131391,6
2019-06-12,2,41872,30399,6
2019-06-13,2,20294,30399,6
2019-06-14,4,150112,132377,6
2019-06-15,3,42562,143794,6
2019-06-16,4,12184,58864,6
2019-06-17,4,20294,138563,6
2019-06-18,1,20294,30399,6
2019-06-19,5,152953,113942,6
2019-06-20,0,0,0,6
2019-06-21,3,112662,30399,6
2019-06-22,3,40589,111538,6
2019-06-23,4,99859,104026,6
2019-06-24,4,55225,150516,6
2019-06-25,2,0,105985,6
2019-06-26,3,20573,30399,6
2019-06-27,6,173418,1112,6
2019-06-28,2,28004,55139,6
2019-06-29,2,31503,54634,6
2019-06-30,3,96243,30399,6
2019-07-01,7,100372,180971,7
