date,portcalls_dry_bulk,import_dry_bulk,export_dry_bulk,month
2019-01-01,2,120697,0,1
2019-01-02,5,146343,55100,1
2019-01-03,3,108715,70484,1
2019-01-04,4,138054,60091,1
2019-01-05,4,105094,103483,1
2019-01-06,2,18807,32856,1
2019-01-07,6,272727,40037,1
2019-01-08,3,21072,33220,1
2019-01-09,4,274813,15759,1
2019-01-10,5,342207,42207,1
2019-01-11,4,131189,61080,1
2019-01-12,3,104422,54817,1
2019-01-13,3,152284,3459,1
2019-01-14,2,104514,15759,1
2019-01-15,1,55096,0,1
2019-01-16,4,100693,16595,1
2019-01-17,3,86737,17805,1
2019-01-18,1,0,47059,1
2019-01-19,2,114958,15759,1
2019-01-20,1,160302,0,1
2019-01-21,4,155192,47278,1
2019-01-22,5,162871,59164,1
2019-01-23,2,68602,31519,1
2019-01-24,1,34301,15759,1
2019-01-25,1,51498,0,1
2019-01-26,5,254490,30916,1
2019-01-27,1,34301,15759,1
2019-01-28,3,141739,15759,1
2019-01-29,1,34301,15759,1
2019-01-30,1,35907,0,1
2019-01-31,4,168244,0,1
2019-02-01,2,195415,15759,2
2019-02-02,2,87741,15759,2
2019-02-03,2,55089,86577,2
2019-02-04,0,0,0,2
2019-02-05,3,166610,15759,2
2019-02-06,3,1647,45422,2
2019-02-07,2,46413,0,2
2019-02-08,1,79147,0,2
2019-02-09,2,34301,61992,2
2019-02-10,2,25276,2464,2
2019-02-11,4,175775,47278,2
2019-02-12,3,97490,50051,2
2019-02-13,2,109371,15759,2
2019-02-14,3,73062,13802,2
2019-02-15,1,79668,0,2
2019-02-16,3,103193,31519,2
2019-02-17,1,78948,0,2
2019-02-18,0,0,0,2
2019-02-19,4,128050,70511,2
2019-02-20,2,97205,0,2
2019-02-21,5,216771,77531,2
2019-02-22,5,229807,54817,2
2019-02-23,1,517,0,2
2019-02-24,1,73200,0,2
2019-02-25,2,161460,0,2
2019-02-26,4,154743,103507,2
2019-02-27,2,25654,42372,2
2019-02-28,2,70210,0,2
2019-03-01,2,696,44324,3
2019-03-02,4,197970,0,3
2019-03-03,3,83343,103483,3
2019-03-04,5,183672,69037,3
2019-03-05,2,0,91237,3
2019-03-06,2,0,41600,3
2019-03-07,1,32256,0,3
2019-03-08,2,112916,15759,3
2019-03-09,6,202890,4698,3
2019-03-10,2,41623,0,3
2019-03-11,2,70995,11906,3
2019-03-12,6,153377,163848,3
2019-03-13,2,113857,0,3
2019-03-14,5,201793,114917,3
2019-03-15,2,78133,74247,3
2019-03-16,2,45855,103507,3
2019-03-17,1,72680,0,3
2019-03-18,10,413134,33333,3
2019-03-19,3,149604,0,3
2019-03-20,5,202776,66992,3
2019-03-21,4,138346,119243,3
2019-03-22,5,152477,119971,3
2019-03-23,2,34301,36834,3
2019-03-24,1,0,53834,3
2019-03-25,4,109439,54436,3
2019-03-26,5,314676,31519,3
2019-03-27,2,54883,0,3
2019-03-28,1,0,60433,3
2019-03-29,2,75119,33471,3
2019-03-30,4,88496,15759,3
2019-03-31,2,124962,0,3
2019-04-01,5,89233,15759,4
2019-04-02,2,153235,0,4
2019-04-03,4,166601,31695,4
2019-04-04,6,251994,130972,4
2019-04-05,2,30878,55008,4
2019-04-06,5,210299,89803,4
2019-04-07,6,244302,71724,4
2019-04-08,1,34301,15759,4
2019-04-09,5,263671,119243,4
2019-04-10,2,88427,0,4
2019-04-11,4,99607,129127,4
